SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
13701,885/6,"??????, ?????? ????? – ???
Sitg, sityi lokak – jaina",,Haadu,P,Knn,17x21,22,20,12,20,C,O,
13702,885/7,"??????? ?????  – ???
Suramuni solipa  – jaina",,Haadu,P,Knn,17x21,23&24,20,12,20,C,G,
13703,885/8,"???????? ??? ????????– ???
Paniveniya rati harushadolu– jaina",,Haadu,P,Knn,17x21,24&25,20,12,20,C,G,
13704,885/9,"???? ???? ????? – ???
Ramana madadi janaki – jaina",,Haadu,P,Knn,17x21,25&26,20,12,20,C,O,
13705,886,"????????
Hitopadesha",,Kathe,PL,Knn,28x5,2&65,50,10,50,Inc,D,¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÉ zÁ¤ : ©. gÁªÀÄPÀÈµÀÚgÁªï
13706,886/1,"?????????? ???????? – ???
Kshetrapala prashastam – jaina",????????,Stotra,P,Knn,17x21,22&23,20,18,20,C,O,
13707,886/2,"???? ????? ??? – ???
Ratna karamdaka kosha – jaina",,Siddanta,P,Knn,17x26,65&152,20,18,20,Inc,D,
13708,887/1,"?????? – ???
Jayamala – jaina",,Tantra-mantra-agama,P,Knn,17x21,54&1&55,25,16,25,C,O,
13709,887/1,"?????????? – ???
Bhumishuddhi – jaina",,Tantra-mantra-agama,P,Knn,17x21,3&26,25,16,25,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13710,887/1,"????? ????? ???? ????? – ???
Prathama paridhi puja mamtra – jaina",,Pooja,P,Knn,17x21,1,20,18,20,Inc,G,"±ÀvÁAiÀÄÄ¶ ¢. UÀÄtªÀw CªÀÄä, gÁd¤®AiÀÄ, ªÀÄÆqÀ©¢gÉ"
13711,887/1,"????????
Gitabharata",?????,Geete,PL,Knn,24x5,1&41,40,9,40,Inc,G,
13712,887/11,"??????????? ???????? ???????? – ???
Chaturvimshati tirthamkara mamgalarati – jaina",,Tantra-mantra-agama,P,Knn,17x21,55&1&56,25,16,25,C,G/O,
13713,887/12,"????????? – ???
Nityapuja – jaina",,Tantra-mantra-agama,P,Knn,17x21,56&1&62,25,16,25,C,O,
13714,887/13,"???????????? ?????
Samkshepashanti mamtra",,Tantra-mantra-agama,P,Knn,17x21,62&63,25,16,25,C,O,
13715,887/14,"?????? ???? – ???
Arhata puj – jaina",,Tantra-mantra-agama,P,Knn,17x21,63&65,25,16,25,Inc,O,
13716,887/2,"?????? 
Ramayana",,Kavya,PL,Knn,24x5,1&6,40,9,40,C,G,
13717,887/2,"?????? – ???
Varapuja – jaina",,Tantra-mantra-agama,P,Knn,17x21,27&33,25,16,25,C,O/D,
13718,887/3,"??????? ???? – ???
Navadevata puja – jaina",,Tantra-mantra-agama,P,Knn,17x21,33&35,25,16,25,C,O/D,
13719,887/4,"??????????? ???????? ???????? – ???
Chaturvimshati tirthamkara mamgalarati – jaina",,Haadu,P,Knn,17x21,35&1&37,25,16,25,C,O/D,
13720,887/5,"????? ????????
Ayvara mamgalarati",,Haadu,P,Knn,17x21,34&1&39,25,16,25,C,O,
13721,887/6,"??????????? ???????? – ???
Pamchaparameshti mamgalarati – jaina",,Haadu,P,Knn,17x21,39&1&40,25,16,25,C,G,
13722,887/7,"??????? ???????? – ???
Anamtanatha mamgalarati – jaina",,Haadu,P,Knn,17x21,40&40&1,25,16,25,C,O,
13723,887/8,"?????? ?????? ????????
Adinatha svami mamgalarati",,Haadu,P,Knn,17x21,40&1&,25,16,25,C,O,
13724,887/9,"????????? ???? – ???
Shodashabhavana puja – jaina",,Tantra-mantra-agama,P,Knn,17x21,41&54,25,13,25,C,G,
13725,888/1,"??????? ????? ????? ??? –???
Parishva tadig nompi kath –jaina",,Kathe,P,Knn,17x21,1&3,20,16,20,C,O,
13726,888/1,"??????????Ã ????????? ???????
Mahalakshmiã ashtottara stotra",,Stotra,PL,Knn,21x4.5,8&1&9,35,9,35,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13727,888/2,"??????? ????? ????? ??? – ???
Triloka tadig nompi kath – jaina",,Kathe,P,Knn,17x21,3&1&8,20,16,20,C,O,
13728,888/2,"?????????? ????????? ???????
Vighneshvara ashtottara stotra",,Stotra,PL,Knn,21x4.5,9&10,35,9,35,C,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13729,888/3,"??????? ????? ???– ???
Ahigahila nompi kath– jaina",,Kathe,P,Knn,17x21,8&1&11&1,20,16,20,C,G,
13730,888/3,"?????????????? ???????
Krrishnashtottara stotra",,Stotra,PL,Knn,21x4.5,10&1,35,9,35,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13731,888/4,"?????? ??? ????? ???– ???
Kamdarpa sara nompi kath– jaina",,Kathe,P,Knn,17x21,11&1&12,20,16,20,C,O,
13732,888/4,"?????????
Lingashtaka",??????????,Stotra,PL,Knn,21x4.5,12&13,35,9,35,C,G,
13733,888/5,"?? ????????? ????? ???– ???
Bhava sagarottara nompi kath– jaina",,Kathe,P,Knn,17x21,12&14,20,16,20,C,O,
13734,888/5,"???????? ??? - ??????
Bagalamukhi shataka - virashaiva",??????? ?????,Niti shataka,PL,Knn,,13&1&21,35,9,35,Inc,G/O,
13735,888/6,"??????? ??????? ????? ???– ???
Durgati nivaran nompi kath– jaina",,Kathe,P,Knn,17x21,14&14&1,20,16,20,C,O,
13736,888/7,"???? ???? ????? ???– ???
Basira balagada nompi kath– jaina",,Kathe,P,Knn,17x21,15&17,20,16,20,C,O,
13737,888/8,"????????? ???? ????? ???– ???
Trailokya bhushana nompi kath– jaina",,Kathe,P,Knn,17x21,17&1&18,20,16,20,C,O,
13738,888/9,"??????? ???? ????? ???– ???
Triloka sarada nompi kath– jaina",,Kathe,P,Knn,17x21,19&20,20,16,20,C,G/O,
13739,889,"???????? (????? ????)
Panchatantra (kannada tik)",??????????,Kathe,PL,Knn,21x4.5,1&144,35,8,35,Inc,G,
13740,889/1,"????? ?????? ????? ???– ???
Tamgalu tavanidhi nompi kath– jaina",,Kathe,P,Knn,17x22,1&4,15,15,15,C,G/O,
13741,889/2,"?????? ????????? ????? ???– ???
Kaivalya sukhashtami nompi kath– jaina",,Kathe,P,Knn,17x22,4&8,15,15,15,C,O,
13742,889/3,"????????? ????? ???– ???
Hidiyakki nompi kath– jaina",,Kathe,P,Knn,17x22,8&11,15,15,15,C,G/O,
13743,889/4," ???? ???? ????? ???– ???
 Kevala bhodhi nompi kath– jaina",,Kathe,P,Knn,17x22,11&11&1,15,15,15,C,G/O,
13744,889/5,"????? ???????? ????? ???– ???
Bhavaroga harashtami nompi kath– jaina",,Kathe,P,Knn,17x22,11&1&15,15,15,15,C,G,
13745,889/6,"??????? ??? ????? ???– ???
Niratishaya sukha nompi kath– jaina", ,Kathe,P,Knn,17x22,15&1&17,15,15,15,C,G,
13746,889/7,"?????? ???? ????? ???– ???
Kalyana tilaka nompi kath– jaina",,Kathe,P,Knn,17x22,17&18,15,15,15,C,G,
13747,889/8,"?????????? ????? ???– ???
Pamchanuvrata nompi kath– jaina",,Kathe,P,Knn,17x22,18&1&20,15,15,15,C,G/O,
13748,890,"?????
Maggi",,Extra,PL,Knn,21x3,1&16,30,3,30,Inc,O,
13749,890/1,"???? ????? ????? ???– ???
Chamdana shashti nompi kath– jaina",,Kathe,P,Knn,17x21,46&56,20,16,20,C,O,
13750,890/1,"?????? ????? ????? ???– ???
Tavanidhi bhamdara nompi kath– jaina",,Kathe,P,Knn,17x21,1&2,20,16,20,C,G,
13751,890/2,"???? ???? ????? ???– ???
Kalpa kujada nompi kath– jaina",,Kathe,P,Knn,17x21,2&1&3,20,16,20,C,G,
13752,890/3,"???? ???????? ????? ???– ???
Karma harashtami nompi kath– jaina",,Kathe,P,Knn,17x21,4&8,20,16,20,C,O/D,
13753,890/4,"?????? ????? ???– ???
Rohini nompi kath– jaina",,Kathe,P,Knn,17x21,9&24,20,16,20,C,O,
13754,890/5,"???????? ????? ???– ???
Namdishvara nompi kath– jaina",,Kathe,P,Knn,17x21,25&33,20,16,20,Inc,O,
13755,890/6,"???? ????? ????? ??? – ???
Shodasha bhavana nompi kath – jaina",,Kathe,P,Knn,17x21,35,20,16,20,Inc,O,
13756,890/7,"????? ????? ???– ???
Anatiya nompi kath– jaina",,Kathe,P,Knn,17x21,38&42,20,16,20,C,O,
13757,890/8,"?????????? ????? ???– ???
Pushpamjali nompi kath– jaina",,Kathe,P,Knn,17x21,42&1&43,20,16,20,Inc,O,
13758,890/9,"??????? ????? ???– ???
Maghamal nompi kath– jaina",,Kathe,P,Knn,17x26,44&45,20,16,20,Inc,G/O,
13759,891/1,"???? ????? ????? ???– ???
Nagara pamchami nompi kath– jaina",,Kathe,P,Knn,18x22,1&4,20,16,20,Inc,O,
13760,891/1,"?????? ????????? - ???
Sukti muktavali - jaina",???????,Stotra,PL,Knn,35x4.5,8&30,85,8,85,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13761,891/2,"???????? ????? ???– ???
Shukravara nompi kath– jaina",,Kathe,P,Knn,18x22,5&16,20,16,20,C,G/O,
13762,891/2,"????? ????? - ???
Dashavidha bhakti - jaina",,Extra,PL,Knn,35x4.5,38&86,85,8,85,Inc,D/W,
13763,891/3,"????????? ????? ???– ???
Shivaratri nompi kath– jaina",,Kathe,P,Knn,18x22,16&18,20,16,20,C,G,
13764,891/3,"?????????? – ???
Shamtyashtaka – jaina",????????,Stotra,PL,Knn,35x4.5,87&90,85,8,85,Inc,O/D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13765,892,"????????
Pamchatantra",??????????,Kathe,PL,Knn,28x5,82 Leaf,60,9,60,Inc,D/W,
13766,892/1,"??????? ????? ??? – ???
Maghamal nompi kath – jaina",,Kathe,P,Knn,17x21,1&13,20,16,20,Inc,O,
13767,892/2,"???? ????? ???– ???
Gauri nompi kath– jaina",,Kathe,P,Knn,17x21,14&17,20,16,20,C,O,
13768,892/3,"????????? ????? ???– ???
Adityavara nompi kath– jaina",,Kathe,P,Knn,17x21,17&1&29,20,16,20,C,O,
13769,892/4,"???????? ????? ??? – ???
Saubhagyada nompi kath – jaina",,Kathe,P,Knn,17x21,24&26,20,16,20,C,O,
13770,892/5,"???????? ????? ??? – ???
Kalpamarada nompi kath – jaina",,Kathe,P,Knn,17x21,27,20,16,20,C,O,
13771,892/6,"????? ????? ????? ??? – ???
Shruta skamda nompi kath – jaina",,Kathe,P,Knn,17x21,28&34,20,16,20,C,G,
13772,892/7,"????????? ????? ??? – ???
Shodashabhavana nompi kath – jaina",,Kathe,P,Knn,17x21,35&44,20,16,20,Inc,O,
13773,892/8,"???? ????? ??? – ??? 
Anamta nompi kath – jaina",,Kathe,P,Knn,17x21,44&48,20,16,20,Inc,O,
13774,893/1,"???? ?????? ????? ??? – ???
Adhika saptami nompi kath – jaina",,Kathe,P,Knn,18x22,1&2,20,16,20,Inc,O,
13775,893/1,"?????  ??????????? - ???
Mantra  parikshavidhi - jaina",,Siddanta,PL,Knn,38x5,1&31,60,10,60,Inc,O/D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13776,893/2,"?????? ????? ??? – ???
Siddhara nompi kath – jaina",,Kathe,P,Knn,18x22,2&3,20,16,20,C,O,
13777,893/2,"?????????????????
Gauripamchangamuhurta",,Jyotisha,PL,Knn,38x5,22 Leaf,60,10,60,Inc,D/W,
13778,893/3,"???? ?????? ????? ??? – ???
Sapta jyoti nompi kath – jaina",,Kathe,P,Knn,18x22,3&1&5,20,16,20,C,O,
13779,893/4,"???? ??????? ????? ??? – ???
Karma nirjar nompi kath – jaina",,Kathe,P,Knn,18x22,5&1&10,20,16,20,C,O,
13780,893/5,"????? ????????? ??????? ???? – ???
Punya kshetragala vistara samdhi – jaina",,Kavya,P,Knn,18x22,11&22,20,16,20,C,O,¸ÁAUÀvÀå
13781,894,"??????? – ???
Jainachara – jaina",??????,Kavya,P,Knn,21x32,5&83,30,20,30,Inc,O/D/W,
13782,894/1,"??? ???? - ???
Harada niti - jaina",,Niti shataka,PL,Knn,,1&16,40,5,40,C,D/W,
13783,894/2,"??????? ??? - ???
Jinamuni tanaya - jaina",,Niti shataka,PL,Knn,,16&27,40,5,40,C,G,
13784,894/3,"??????????? – ???
Samavasaranashtaka – jaina",,Stotra,PL,Knn,23x3,28&29,40,5,40,C,G,
13785,894/4,"???????? – ???
Jinashtaka – jaina",,Stotra,PL,Knn,23x3,29&30,40,5,40,C,G,
13786,894/5,"????????? ???? ????? - ???
Trailokya bhushana charit - jaina",,Kavya,PL,Knn,23x3,31 Leaf,40,5,40,C,G,
13787,895/1,"??????? ??? - ???
Ratnakara shataka - jaina",????????? ??????,Niti shataka,PL,Knn,,9 Leaf,45,3,45,Inc,D/W,
13788,895/1,"?????????
Upasakachara",????????,Extra,P,Knn,16x10,13,25,9,25,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13789,895/2,"?????????? ????? – ???
Munisuvrata kavya – jaina",?????????,Kavya,P,Knn,16x10,14&32,25,9,25,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøv
13790,895/2,"??????????? ????? - ???
Samdhyavandan lakshana - jaina",,Siddanta,PL,Knn,33x3,20 Leaf,45,4,45,Inc,D/W,
13791,895/3,"??? ???? ??? - ???
Jina muni tanaya - jaina",????????,Kavya,PL,Knn,33x3,27 Leaf,45,4,45,Inc,D/W,
13792,895/3,"????????? ?????????? – ???
Ratnakaramdaka shravakachara – jaina",????????,Kavya,P,Knn,16x10,17,25,9,25,Inc,O,
13793,896,"???????? ?????
Prahlada charit",?????????,Kavya,PL,Knn,21x5,70&79,50,10,50,Inc,O/D,¸ÁAUÀvÀå
13794,896,"??????? ??????? – ???
Bhaktamara stotra – jaina",?????????????,Stotra,P,Knn,18x11,1&4,30,7,30,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13795,897,"??????
Udayaraga",,Haadu,PL,Knn,24.5x5,83 Leaf,50,9,50,Inc,O,
13796,897/1,"???????? – ???
Jinashtaka – jaina",,Stotra,P,Knn,17x18,1&2,20,7,20,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13797,897/2,"??????? ???? ???? – ???
Jinamamgala Irya pathavu – jaina",,Stotra,P,Knn,17x10,3&11,20,7,20,Inc,O,
13798,897/3,"???????? – ???
Suprabhata – jaina",,Stotra,P,Knn,17x10,11&1&14,20,7,20,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13799,897/4,"???????? ??????? – ???
Tirthamkara stotra – jaina",,Stotra,P,Knn,17x10,14&1&19,30,7,30,C,G,
13800,897/5,"???????? ???? – ???
Tirthamkara nama – jaina",,Stotra,P,Knn,17x10,20&25,30,7,30,C,G,
13801,897/6,"??????????? ???????? ????? 
Chaturvimshati tirthamkara bhakti",,Stotra,P,Knn,17x10,25&1&28,30,7,30,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13802,897/7,"?????????? ??????? – ???
Parishvanatha stotra – jaina",,Stotra,P,Knn,17x10,28&30,30,7,30,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13803,898,"??? ???? - ???
Harada niti - jaina",,Niti shataka,PL,Knn,,179&218,25,9,25,Inc,D/W,
13804,898/1,"????????????????? – ???
Vyakhyanasahasranama – jaina",,Tantra-mantra-agama,P,Knn,11x17,1&7,10,11,10,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13805,898/1,"?????? – ???
Udayaraga – jaina",,Haadu,P,Knn,11x17,46,10,11,10,C,O,
13806,898/11,"???????? ???? – ???
Padmavati puj – jaina",,Haadu,P,Knn,11x17,46&1&47,10,11,10,C,G,
13807,898/12,"????????? ???? ??????? ????????? – ???
Nodammayya shri jinamuni rayanatishayava – jaina",,Haadu,P,Knn,11x17,47&1&48,10,11,10,C,G,
13808,898/13,"?????? ???????? – ???
Chinmaya chimtamani – jaina",,Jyotisha,P,Knn,11x17,48&1&55,10,11,10,C,G,
13809,898/14,"????????????? – ???
Sarasvatyashtaka – jaina",,Stotra,P,Knn,11x17,55&1&56,10,11,10,C,G,
13810,898/15,"??????????? ?????? – ???
Adijineshvara paramesham – jaina",,Haadu,P,Knn,11x17,56&1&57,10,11,10,C,G,
13811,898/16,"???????? ??????? – ???
Tirthamkara gadyagalu – jaina",,Extra,P,Knn,11x17,58&1&59,10,11,10,C,O,
13812,898/17,"?????? – ???
Jayamala – jaina",,Haadu,P,Knn,11x17,59&1&60,10,11,10,C,G,
13813,898/18,"????????? ?????? – ???
Tridasharaja pujitam – jaina",,Stotra,P,Knn,11x17,60&61,10,11,10,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13814,898/19,"??????? – ???
Samayika – jaina",,Stotra,P,Knn,11x17,61&64,10,11,10,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13815,898/2,"????? ?????? – ???
Jnana bhaskara – jaina", ?????????,Kavya,P,Knn,11x17,7&35,10,11,10,Inc,O,
13816,898/2,"???????? ??????? – ???
Suprabhata stotra – jaina",,Stotra,P,Knn,11x17,64&66,10,11,10,C,O,
13817,898/21,"??????????? ??????????? – ???
Kalamurukarma Emtukiludosha – jaina",,Haadu,P,Knn,11x17,66&1&70,10,11,10,C,G/O,
13818,898/22,"???????? ?????????? – ???
Namdishvara ashtahnika – jaina",,Tantra-mantra-agama,P,Knn,11x17,70&1&72,10,11,10,C,G,
13819,898/23,"??????????? – ???
Samavasharanashtaka – jaina",,Stotra,P,Knn,11x17,72,10,11,10,C,O,
13820,898/24,"????????????? ????? - ???
Tatvarthadhigama sutra - jaina",?????????,Siddanta,P,Knn,11x17,73&75,10,11,10,C,O,¥ÀæxÀªÀÄ ºÁUÀÆ ¢éwÃAiÀÄ CzsÁåAiÀÄ
13821,898/25,"??????? ????? – ???
Samayika satiku – jaina",,Stotra,P,Knn,11x17,75&1&77,10,11,10,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13822,898/26,"????? ???? ???? – ???
Nitya puja vidhi – jaina",,Tantra-mantra-agama,P,Knn,11x17,78&85,10,11,10,C,O,DUÀªÀÄ
13823,898/27,"??????????? ????? – ???
Jinagunasampati mamtra – jaina",,Tantra-mantra-agama,P,Knn,11x17,85&1&89,10,11,10,C,G,“
13824,898/3,"??????? ??????? – ???
Bhaktamara stotra – jaina",?????????????,Stotra,P,Knn,11x17,36&40,10,11,10,C,O,
13825,898/4,"???????? ??????????? – ???
Eshtudura blgulavamd – jaina",,Haadu,P,Knn,11x17,41,10,11,10,C,O,
13826,898/5,"???? ??? ????? – ???
Ganadhara valaya mamtra – jaina",,Tantra-mantra-agama,P,Knn,11x17,41&1&43,10,11,10,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13827,898/6," ?????? ???? ?? ??? – ???
 Sammeda shikhara 2M kuta – jaina",,Extra,P,Knn,11x17,43&4,10,11,10,Inc,D,
13828,898/7,"?????? – ???
Udayaraga – jaina",,Haadu,P,Knn,11x17,44&,10,11,10,C,O,
13829,898/8,"??????????????? – ???
Dvadashanupeksh – jaina",???????,Siddanta,P,Knn,11x17,44&45,10,11,10,C,O,
13830,898/9,"???? ????? – ???
Vrrishabha vahanam – jaina",,Haadu,P,Knn,11x17,45&1&46,10,11,10,C,O,
13831,899,"???? ?????? ?????? - ???
Niti samgraha paddhati - jaina",????????????,Niti shataka,PL,Knn,,184&204,35,10,35,Inc,D/W,¨sÁµÉ; ¸ÀA¸ÀÌøvÀ
13832,900,"??????? ???????
Nitisara samuchchaya",,Niti shataka,PL,Knn,,1&20,80,7,80,Inc,D/W,
13833,900/1,"????????? ???????
Virataparva gograhana",,Yakshagaana,P,Knn,17X4,67,30,7,30,Inc,O/D/ OÄ,"25/7/1927, ¥ÁægÀA¨sÀ E®è.JªÀiï JªÀiï ¥Àæ¨sÁPÀgÀ PÁgÀAvÀ ºÉÆ¸ÀPÉÆ¥Àà"
13834,900/2,"????? ???
Saimdhava vadh",???????,Yakshagaana,P,Knn,17x4,25,30,7,30,Inc,O/D/ OÄ,JªÀiï.JªÀiï.¥Àæ¨sÁPÀgÀ PÁgÀAvÀ ºÉÆ¸ÀPÉÆ¥Àà
13835,901/1,"??????? ???? - ???
Simharaja niti - jaina",,Niti shataka,PL,Knn,,17&25,55,5,55,Inc,O,
13836,901/1,"??????????
Krrishnasandhana",,Yakshagaana,P,Knn,17x10,66,25,8,25,C,O/D/ OÄ,JªÀiï.JªÀiï. ¥Àæ¨sÁPÀgÀ PÁgÀAvÀ ºÉÆ¸ÀPÉÆ¥Àà
13837,901/2,"??????? ??? - ???
Jinamuni tanaya - jaina",,Niti shataka,PL,Knn,,26&37,55,5,55,Inc,O,
13838,901/2,"?????????? ????
Tamradhvajana kalaga",,Yakshagaana,P,Knn,17x10,27,25,8,25,Inc,O/D/ OÄ,JªÀiï.JªÀiï.¥Àæ¨sÁPÀgÀ PÁgÀAvÀ ºÉÆ¸ÀPÉÆ¥Àà
13839,902,"???????? ???? ????? – ???
Ramachamdra charita purana – jaina",???? ?????????-??? ???????,Kavya,P,Knn,20x32,1&249,25,24,25,C,G,"¥ÀæPÀlªÁVzÉ. PÉÆæÃ¢ü ¸ÀAªÀvÀìgÀ PÁwðPÀ ±ÀÄzÀÞ ZÀvÀÄzÉð² ¸ÉÆÃªÀÄªÁgÀ ªÀÄzÁåºÀßPÉÌ F gÁªÀÄ¸Áé«Ä ZÀjvÉAiÀÄÄ §gÉzÀÄ ¸ÀªÀiÁ¥ÀÛ.²æÃ zÉÃªÀPÀÄªÀiÁgï ±Á¸ÀÛj,«ÃgÀ ªÁtÂ «¯Á¸À eÉÊ£À¹zÁÞAvÀ ¨sÀªÀ£À, ªÀÄÆqÀ©¢gÉ."
13840,902,"??? ???? - ???
Harada niti - jaina",,Niti shataka,PL,Knn,,2&9,55,9,55,Inc,O,"zÁ¤; ©. «ÃgÉÃAzÀæ, ¥Éj¨sÀlÖ §¸À¢, ªÁ¯Áàr. PÁPÀð¼À"
13841,902,"???????????? ???? ?????
Shriramachandra charita purana",????????? ???????,Kavya,P,Knn,20x32,1&249,25,24,25,C,,"¢. zÉÃªÀPÀÄªÀiÁgÀ ±Á¹Ûç, ªÀÄÆqÀ©¢gÉ"
13842,903,"??????? ???????? 
Prashna chimtamani",,Jyotisha,PL,Knn,24x3.5,13 Leaf,40,7,40,Inc,D,
13843,903,"????????
Sabhalakshana",,Yakshagana,P,Knn,11x17,27,15,19,15,,,
13844,904,"????? ?????? – ???
Vaidya samgraha – jaina",,Vaidya,PL,Knn,21x5,39 Leaf,30,6,30,Inc,G,
13845,904,"????? ??????
Vaidya samgraha",,Yakshagana,P,Knn,,,,,,Inc,,"¥ÀArvÀ £ÀgÀ¹AºÀgÁªï, «ÄÃAiÀiÁgÀÄ ¥ÉÃmÉ, CAZÉ: PÁPÀð¼À "
13846,905,"???????????? – ???
Bheshajashastram – jaina",,Vaidya,PL,Knn,58x5,1&34,80,8,80,C,G,
13847,905,"????? ??????
Vaidya samgraha",,Yakshagana,P,Knn,22x17,,,,,,,
13848,906,"????????? – ?????? ????? – ???
Vaidyamrrita – rasamrrita darpana – jaina",????????? ?????,Vaidya,PL,Knn,53x5,1&73,125,10,125,Inc,D/W,
13849,906,"????????
Sabhalakshana",,Yakshagana,P,Knn,,,,,,,,
13850,907,"????????? – ???
Vaidyamrrita – jaina",?????????,Vaidya,PL,Knn,34x4,3&81,60,8,60,Inc,D/W,
13851,907,"???????? ?????
Nandishvara bhakti",??????????,Yakshagana,P,Knn,15X20.5,1&16,30,11,30,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13852,908,"???????????
Vaidyasangraha",,Vaidya,PL,Knn,21x5.5,9 Leaf,45,8,45,Inc,D,
13853,908,"????????? ?????? ????? 
Shamtishvara svami charit",??????????? ????,Kavya,P,Knn,16X20,1&93,15,17,15,C,G,
13854,909,"??????? ?????-?????
Balagraha yamtra-mantra",,Vaidya,PL,Knn,30x3,55&118,45,5,45,Inc,D,
13855,909/1,"????? ???????? ???????
Chikka samamtabhadra stotra",-,Stotra,P,Knn,19X17,2&7&1,30,17,30,C,G,
13856,909/1,"??????????? ???????? ????
Chaturvimshati tirthamkara puj",-,Pooja,P,Knn,19X17,32,30,17,30,C,G,
13857,909/11,"?????? ????
Adinatha puj",-,Pooja,P,Knn,19X17,33,30,17,30,C,G,
13858,909/12,"?? ????? ????
Nava devata puj",-,Pooja,P,Knn,19X17,34,30,17,30,C,G,
13859,909/13,"?????????? ?????? ????
Parishvanatha svami puj",-,Pooja,P,Knn,19X17,35,30,17,30,C,G,
13860,909/14,"?????????? ????
Anamtasvami puj",-,Pooja,P,Knn,19X17,36,30,17,30,C,G,
13861,909/15,"????????? ???????? ????
Chamdraprabha tirthamkara puj",-,Pooja,P,Knn,19X17,40,30,17,30,C,G,
13862,909/16,"?????????? ????
Shyamayakshana puj",-,Pooja,P,Knn,19X17,47,30,17,30,C,G,
13863,909/17,"???????? ??????? ????
Jvalini ammanavara puj",-,Pooja,P,Knn,19X17,48,30,17,30,C,G,
13864,909/18,"???????? ??????? ????
Padmavati ammanavara puj",-,Pooja,P,Knn,19X17,49,30,17,30,C,G,
13865,909/19,"?????? ???? ????
Brahma devara puj",-,Pooja,P,Knn,19X17,49,30,17,30,C,G,
13866,909/2,"???????
Iryapatha",-,Stotra,P,Knn,19X17,8&1&12,30,17,30,C,G,
13867,909/2,"?????????
Mamgalashtaka",-,Pooja,P,Knn,19X17,50,30,17,30,C,G,
13868,909/21,"???????? ???????
Jvalini stotra",-,Stotra,P,Knn,19X17,51,30,17,30,C,G,
13869,909/22,"??????? ?????? ????
Bahubali svami puj",-,Pooja,P,Knn,19X17,54,30,17,30,C,G,
13870,909/23,"???????? ?????? ???? ???????????
Chamdranatha svami Arati himdustani",-,Pooja,P,Knn,19X17,55,30,17,30,C,G,
13871,909/24,"?????? ?????? ????????
Jvala malini mamgalarati",-,Pooja,P,Knn,19X17,56,30,17,30,C,G,
13872,909/25,"??????? ?????
Triloka charit",-,Pooja,P,Knn,19X17,56&63,30,17,30,C,G,
13873,909/3,"????????
Samayika",-,Stotra,P,Knn,19X17,12,30,17,30,C,G,
13874,909/4,"????? ???????? ????? 
Shamti tirthamkara ashtaka",-,Stotra,P,Knn,19X17,15,30,17,30,C,G,
13875,909/5,"?????????
Vrrishabhashtaka",-,Stotra,P,Knn,19X17,16,30,17,30,C,G,
13876,909/6,"??????????? ???????? ??????? 
Chaturvimshati tirthamkara stotra",-,Stotra,P,Knn,19X17,16,30,17,30,C,G,
13877,909/7,"???????? ?????
Samdishvara bhakti",-,Stotra,P,Knn,19X17,17&23,30,17,30,C,G,
13878,909/8,"????????? ??????
Jinastuti ashtaka",-,Stotra,P,Knn,19X17,25,30,17,30,C,G,
13879,909/9,"???????????
Samdhyavamdan",-,Stotra,P,Knn,19X17,27&31,30,17,30,C,G,
13880,910,"????? ?????? 
Vaidya samgraha",,Vaidya,PL,Knn,24.5x4.5,13 Leaf,60,8,60,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÉ
13881,910,"??????? ?????? 
Kanakamgi kalyana",-,Yakshagana,P,Knn,17X19,1&142,15,12,15,C,G/O,
13882,911,"???????????
Vaidyasangraha",,Vaidya,PL,Knn,15x4,1&47,25,5,25,Inc,O/D,
13883,911,"??????????? ??? 
Dakshabrahmana kath",-,Yakshagana,P,Knn,17X2,1&145,15,20,15,C,G,
