Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
158,43,???????? ????????? ??? – ??????,?????? ??????,Shat?sthala akhamdeshvara vachana – virashaiva,Vacana,P,Knn,32x10,325&428,11,65,Inc,O,,,
159,43/1,???????????,?????? ?????? ?????????,Shabdaratnakara,Nighantu,PL,Knn,26x5.5,1&5,8,40,Inc,O/D,,,
160,43/2,??????? ??????,,Nanartha nighamtu,Nighantu,PL,Knn,26x5.5,1&4,8,40,Inc,O,,,
161,44,??????????? ????? ,???? ???,Chorabasaveshvara kavya,Kavya,P,Knn,33x10,1&1.3,9,50,C,G,±ÀPÀ 1789 gÀPÁÛQë ¸ÀA. ªÀiÁUÀğ²gÀ §. 2 EAzÀÄªÁgÀ,,
162,44,???? ????? ????? – ??????,??????????,Dipada kaliyara kavya – virashaiva,Kavya,PL,Knn,38x3.5,1&74,5,70,C,D/W,,,
163,45,????? ???? ????? ??????? – ??????,,Prabhu devara shunya sampadan – virashaiva,Vacana,P,Knn,31x10,1&266,9,40,C,O,§tÚzÀ ºÀ°UÉ EzÉ,,
164,45/1,???????????? - ??????,????????,Girijakalyana - virashaiva,Kavya,PL,Knn,38x5,5&59,10,85,Inc,O,,,
165,45/2,?????? ????? - ??????,?????? ?????? ?????????,Haviæmaãrakavya - virashaiva,Kavya,PL,Knn,38x5,60&90,10,85,C,O,,,
166,45/3,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,38x5,91&126,10,85,C,G,,,
167,45/4,?????????????? - ??????,???????? ??????,Bhairaveshvarakavya - virashaiva,Kavya,PL,Knn,38x5,140&190,10,85,Inc,O,¸ÁAUÀvÀå,,
168,46,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,PL,Knn,36x5.5,1&71,10,70,Inc,O/D,ªÀvÀÄğ® gÉÃSÁavÀæU¼ÀÄ,,
169,46,????? ???? ????? ??????? – ??????,????? ??????????????? ,Prabhu devara shunya sampadan – virashaiva,Vacana,P,Knn,31x10.5,1&222,12,50,C,O/D,§tÚzÀ ºÀ°UÉ EzÉ,,
170,47,????? ???? ????? ??????? – ??????,,Prabhu devara shunya sampadan – virashaiva,Vacana,P,Knn,30x10,1&167,12,45,C,G/O,,,
171,47/1,???????? ??,,Rahuketu fala,Jyotisha,PL,Knn,36x5.5,105&106,8,50,C,O,,,
172,47/1,?????? ??????? ?? - ??????,,Vaidyaka nakshatra fala - virashaiva,Jyotisha,PL,Knn,36x5.5,1&44,8,50,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÀÄ,,
173,47/2,???????? ?? - ??????,???? ?????,Narapimgali fala - virashaiva,Jyotisha,PL,Knn,36x5.5,44&58,8,50,C,G/O,,,
174,47/3,??????? ?????,,Balagraha nidhana,Vaidya,PL,Knn,36x5.5,58&70,8,50,C,O,RqÀÎgÁªÀt ªÀÄvÀ¢AzÀ,,
175,47/4,??????? ???????,??????????,Nakshatra chudamani,Jyotisha,PL,Knn,36x5.5,70&90,8,50,C,O,PÀ£ÀßqÀ nÃPÀÄ ¸ÀªÉÄÃvÀ,,
176,47/5,???? ??????? ????,,Rashi nakshatra jataka,Jyotisha,PL,Knn,36x5.5,90&97,8,50,C,O,,,
177,47/6,???????,,Yonikuta,Jyotisha,PL,Knn,36x5.5,97&99,8,50,C,O,,,
178,47/7,??????? ???????,,Rupavali karnik,Extra,PL,Knn,36x5.5,100&101,8,50,C,O,,,
179,47/8,?????,,Amshafala,Jyotisha,PL,Knn,36x5.5,100&101,8,50,C,G,,,
180,47/9,???????? ????,,Graha rashi vivara,Jyotisha,PL,Knn,36x5.5,101&105,8,50,C,G,,,
181,47/9,???????? ????,,Graharashi vivara,Jyotisha,PL,Knn,36x5.5,101&105,8,50,C,G,,,
182,48,????????? ????? – ??????,,Amrriteshvara bhashya – virashaiva,Siddanta,PL,Knn,38x5,1&338,12,85,C,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
183,48,????? ???? ????? ??????? – ??????,????? ???????????????,Prabhu devara shunya sampadan – virashaiva,Vacana,P,Knn,34x10,1&322,8,60,C,G/O,1799 F±ÀégÀ£ÁªÀÄ ¸ÀA. ªÉÊ±ÁR §ºÀÄ¼À ªÀÄAzÀªÁgÀ °¦PÁgÀ: G¨sÀAiÀÄ ¸Áé«ÄUÀ¼ÀÄ,,
184,49,??????? ????? - ??????,?????? ???,Rajashekhara vilasa - virashaiva,Kavya,P,Knn,31x11,1&122,12,40,C,G,PÀpt ±À¨ÁİxÀğ,,
185,49,??? ???? ????? – ???? ???? ????(????) - ??????,?????? ??? ,Shabara shamkara vilasa – ghatta padagala nudi(tiku) - virashaiva,Kavya,PL,Knn,37x5,1&18,14,120,Inc,O/D,,,
186,50,????? ???????? – ??????,?????? ???????,Viveka chimtamani – virashaiva,Kavya,PL,Knn,35x5.5,1&88,10,75,C,G,,,
187,51,?????? ?????? - ??????,????????,Anubhava mudr - virashaiva,Kavya,P,Knn,31x11,35&89,12,50,C,O,¸ÁAUÀvÀå,,
188,51/1,???????? – ??????,??????? ?????,Karanahasig – virashaiva,Extra,PL,Knn,38x5,1&5,9,95,C,G,,,
189,51/2,?????????? – ??????,???????? ????? ,Mishrarpana – virashaiva,Vacana,PL,Knn,38x5,5&7,9,95,C,G,,,
190,51/3,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,PL,Knn,38x5,7&8,9,95,C,G,,,
191,51/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,38x5,8,9,95,C,G,,,
192,51/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,38x5,8&9,9,95,C,G,,,
193,51/6,??????? ?????? – ??????,???????????,Ekottara shatasthala – virashaiva,Vacana,PL,Knn,38x5,9&28,9,95,C,G,,,
194,51/7,????? ????? ????? - ??????,??????? ?????,Hiriya mamtra gopya - virashaiva,Kavya,PL,Knn,38x5,28&67,9,95,C,G,,,
195,51/8,???????? ????????????,????? ??????????????,Shat?sthala jnanasaramrrita,Vacana,PL,Knn,38x5,68&105,9,95,C,G,,,
196,52, ??????????? ???? - ?????? ???? - ??????,??????, Brahmottara kamda - shivakath vivara - virashaiva,Kavya,P,Knn,28.5,1&88,13,35,C,G,,,
197,52/1,???????????? - ??????,?????? ?????????,Bhavachimtaratna - virashaiva,Kavya,PL,Knn,35x6,1&7,9,60,C,G,,,
198,52/1,?????????? ???????????? – ??????,,Shambhavichakra mamtroddharana –virashaiva,Tantra-mantra-agama,PL,Knn,35x6,60&62,9,60,C,G,,,
199,52/11,????? ???? ?????? ?? ????? ??? - ??????,,Anadi jamgama amtaranga japa mamtra patala - virashaiva,Tantra-mantra-agama,PL,Knn,35x6,62&65,9,60,C,G,,,
200,52/12,?????? ????? ????? – ??????,,Prasada mamtra lakshana – virashaiva,Tantra-mantra-agama,PL,Knn,35x6,65&67,9,60,C,G,,,
201,52/13,????????? ???? - ??????,?????????,Vrrishabhemdra vijaya - virashaiva,Kavya,PL,Knn,35x6,68&91,9,60,C,G,WÀlÖ¥ÀzÀUÀ¼ÀÄ,,
202,52/14,???????? ????? ?????? – ??????,??????,Basaveshvara purana namdya – virashaiva,Stotra,PL,Knn,35x6,91&95,9,60,C,G,,,
203,52/15,????? ?????? ????? - ??????,,Samadhi kriyada vachya - virashaiva,Kavya,PL,Knn,35x6,95&97,9,60,C,G,,,
204,52/2,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,35x6,7&18,9,60,C,G/O,WÀnÖ ¥ÀzÀUÀ¼À £ÀÄr,,
205,52/3,?????? ????? - ??????,?????? ?????? ?????????,Haviæmaãrakavya - virashaiva,Kavya,PL,Knn,35x6,18&24,9,60,C,G,WÀlÖ¥ÀzÀUÀ¼À £ÀÄr,,
206,52/4,?????? ?????? - ??????,????????,Girija kalyana - virashaiva,Kavya,PL,Knn,35x6,24&29,9,60,Inc,G/O,WÀlÖ¥ÀzÀUÀ¼À£ÀÄr,,
207,52/5,????????? ??? ???? - ??????,?????? ???????,Prabhulimga kamda tiku - virashaiva,Kavya,PL,Knn,35x6,30&36,9,60,C,G,,,
208,52/6,?????? ??????? ???? ???????? - ??????,??????????,Karasthala nagalimga devara trividhi - virashaiva,Kavya,PL,Knn,35x6,36&41,9,60,C,G,,,
209,52/7,????? ????? ????? - ??????,??????? ?????,Hiriya mamtra gopya - virashaiva,Kavya,PL,Knn,35x6,41&49,9,60,C,G,,,
210,52/8,?? ????? ????? – ??????,??????? ?????,Pada mamtra gopya – virashaiva,Kavya,PL,Knn,35x6,49&55,9,60,C,G,,,
211,52/9,????????? ?????????? - ??????,????????,Prabhudevara mamtragopya - virashaiva,Kavya,PL,Knn,35x6,55&60,9,60,C,G,,,
212,54,???????? ??????? - ??????,???????,Siddharama charitra - virashaiva,Kavya,P,Knn,31.5x11,1&90,9,35,C,G,"±Á° ±ÀPÀ 1775 ¥ÀæªÀiÁ¢ ¸ÀA. ±ÁæªÀt ±ÀÄzÀŞ zÁézÀ² wy, ¸ÉÆÃªÀÄªÁgÀ",,
213,54/1,???? ??? ????? ??????????,?????,Shri shaila parvata mahatmyam,Puraana,PL,Knn,40x5,1&75,14,105,Inc,O/D,¸ÁÌAzÀ¥ÀÄgÁt §æºÉÆäÃvÀÛgÀ PÁAqÀ,,
214,54/2,??????? ????????,???????,Patamjali mahabhashya,Vyakarana,PL,Knn,40x5,76&175,14,105,Inc,O/D,,,
215,55, ???????? ???? - ??????,?????? ?????????, Bavachimta ratna - virashaiva,Kavya,P,Knn,31x10.5,1&67,11,40,Inc,O,,,
216,55/1,????? ??? – ??????,??????????????,Acharan vachana – virashaiva,Vacana,PL,Knn,26x5,228&234,11,50,Inc,G,,,
217,55/2,?????????? ??? – ??????,??????????????,Basavastotra vachana – virashaiva,Stotra,PL,Knn,26x5,234&266,11,50,Inc,G/O,,,
218,55/3,???????????? ??? – ??????,??????????????,Mishrastotra vachana – virashaiva,Stotra,PL,Knn,26x5,266&277,11,50,Inc,G/O,,,
219,56,???????? - ??????,??? ?????? ,Namdyagama - virashaiva,Kavya,P,Knn,32x10,1&96,10,45,C,G,¨sÁ.µÀqÀà¥À¢ E¸À« 1871 ±ÀPÀ.1792 ¥ÀæªÉÆÃzÀ ¸ÀA. ±ÁæªÀt ±ÀÄPÀè.3 gÀ«ªÁgÀ,,
220,56/1,?????? ??????? ???? ???????? - ??????,??????????,Karasthala nagalimga devara trividhi - virashaiva,Kavya,PL,Knn,28x5.5,1&12,9,55,Inc,O/D,,,
221,56/2,????? ?????????? - ??????,??????? ?????,Hiriya mamtragopya - virashaiva,Kavya,PL,Knn,28x5.5,1&24,9,55,C,O/D,,,
222,56/3,??????????? ??? – ??????,???????????,Akkamahadevi vachana – virashaiva,Vacana,PL,Knn,28x5.5,1&14,9,55,Inc,O/D/W,,,
223,57,??????? ???????? - ??????,???????,Virabhadra lilaratna - virashaiva,Kavya,PL,Knn,29x4.5,1&130,7,60,C,G,,,
224,57,????????  ??? – ??????,???????? ?????,Shat?sthala  vachana – virashaiva,Vacana,P,Knn,31x14,1&35,14,45,C,G,,,
225,58,????????,??????????,Pamchatantra,Kathe,PL,Knn,29x3.5,1&206,6,65,C,O/D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ CxÀğ,,
226,58,???????? ??? – ??????,???????? ?????,Shat?sthala vachana – virashaiva,Vacana,P,Knn,33x10.5,1&36,7,40,C,G,,,
227,59,???????? ??????? - ??????,???????,Siddharama charitra - virashaiva,Kavya,P,Knn,30x10,1&143,8,30,C,G/O,,,
228,59,???????? ????? ???????,?????,Shat?sthala jnana saramrrita,Vacana,PL,Knn,27.5x6,1&81,9,50,Inc,O,,,
229,60,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,PL,Knn,26x5,1&149,13,70,C,O,,,
230,60,??????? ???? – ??????,???????????,Nurmdu sthala – virashaiva,Vacana,P,Knn,30x11,5&264,10,45,Inc,O,,,
231,61,???????,????????,Mahabharata,Kavya,PL,Knn,28x5,1&147,10,65,C,O/D,,,
232,61/1,??????? ?????? – ??????,???????????,Ekottara shatasthala – virashaiva,Vacana,P,Knn,32x10,1&154,14,50,C,G/O,,,
233,61/2,??????? ?????? – ??????,???????????,Ekottara shatasthala – virashaiva,Vacana,P,Knn,32x10,8&287,14,50,Inc,G/O,¸ÀnÃPÀÄ 1797 AiÀÄÄªÁ£ÀÄªÀvÀìgÀ DµÁqÀ PÀÈµÀÚvÀPÀët ZÀAzÀæªÁgÀ,,
234,61/3,??????? ?????? ??? ???? – ??????,?????????? ??????,Aravattu nalku shila vivara – virashaiva,Vacana,P,Knn,32x10,288&290,14,50,C,G,,,
235,62,?????????,???????,Kumarasambhava,Kavya,PL,Knn,29x4.5,1&38,7,50,Inc,O/D,"CµÀÖªÀÄ¸ÀUÀğ ªÉÄÃWÀ¸ÀAzÉÃ±À, C®APÁgÀ ¸ÀAUÀæºÀ UÀæAxÀUÀ¼À PÉ®ªÀÅ ¥ÀvÀæUÀ½ªÉ.",,
236,62/1,??????? ?????? ????????? – ??????,,Ekottara shatastala vyakhyana – virashaiva,Vacana,P,Knn,33x11,1&195,14,45,C,G/O,,,
237,62/2,?????????? – ??????,???????? ????? ,Mishrarpana – virashaiva,Vacana,P,Knn,33x11,1&56,14,45,C,G,,,
238,62/3,????? ?????? ?????? – ??????,???????????? ?????????,Dashavidha padodaka nirnaya – virashaiva,Vacana,P,Knn,33x11,1&2,14,45,Inc,G/O,,,
239,62/4,??????????? ???? – ??????,,Limgachidamrrita bhod – virashaiva,Vacana,P,Knn,33x11,1&93,11,45,C,G,,,
240,62/5,??????? ????????? ??????? ??? – ??????,,Akkagalu nirupisida srrishtiya vachana – virashaiva,Vacana,P,Knn,33x11,1&8,11,45,C,G,,,
241,63/1,?????? ???? ??? – ??????,???????? ?????,Basavaraja devara vachana – virashaiva,Vacana,PL,Knn,27x6,1&18,12,65,C,G,¸ÀA¸ÀÌøvÀ nÃPÀÄ,,
242,63/1,?????? ??????? ??? – ??????,  ????????? ,Sakalagama shikhamani vachana – virashaiva,Vacana,P,Knn,31x10,1&64,11,45,C,G,,,
243,63/2,??????????? ???????? - ??????,????? ????? ??????,Shilavamtayyagala trividhi - virashaiva,Kavya,P,Knn,31x10,1&31,11,45,C,G,,,
244,63/2,??????? ??????,,Stotra samgraha,Stotra,PL,Knn,27x6,18&19,12,65,Inc,G,,,
245,63/3,???????? ???????,,Ashtavarana stotra,Stotra,PL,Knn,27x6,19&22,12,65,Inc,G,¸ÀA¸ÀÌøvÀ nÃPÉ,,
246,63/4,?????? ????????? - ??????,??????????,Shivayoga pradipik - virashaiva,Kavya,PL,Knn,27x6,22&40,12,65,C,G,,,
247,63/5,??????? ????????? - ??????,?????? ???????,Paramartha prakashik - virashaiva,Kavya,PL,Knn,27x6,41&72,12,65,C,G,,,
248,63/6,????????? ?????,,Yajnasutra nirasana,Tantra-mantra-agama,PL,Knn,27x6,73&74,12,65,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
249,63/7,????????? ???? -??????,??????????,Aksharamkana gadya -virashaiva,Stotra,PL,Knn,27x6,1&11,12,65,C,G,,,
250,64,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,PL,Knn,27x5,1&100,13,72,Inc,G,,,
251,64,?????????? – ??????,???????? ?????,Mamtragopya – virashaiva,Vacana,P,Knn,31x10.5,1&22,14,35,C,G,,,
252,65,??????? ?????? ???? – ??????,???????????,Ekottara shatasthala tiku – virashaiva,Vacana,P,Knn,31x10.5,1&257,10,40,C,O/D,,,
253,65/1,??????? ???????,????????,Nanartha ratnakara,Nighantu,PL,Knn,31x4.5,1&48,7,45,C,O,,,
254,65/2,??????????????,???????,Namalilamganushasana,Nighantu,PL,Knn,31x4.5,49&82,7,45,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
255,65/3,???? ??????,???????,Dhatu nirnaya,Vyakarana,PL,Knn,31x4.5,83&101,7,45,Inc,G,,,
256,65/4,??????? ????????? - ??????,?????? ?????????,Karnataka shabdamamjari - virashaiva,Nighantu,PL,Knn,31x4.5,101&114,7,45,C,G,,,
257,65/6,??????? ??????,?????,Nanartha nighamtu,Nighantu,PL,Knn,31x4.5,160&168,7,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÀÄ,,
258,66,??????? ????????? ????? - ??????,????????,Basavalimga mahimarnava purana - virashaiva,Kavya,PL,Knn,28x5.5,1&153,10,45,C,O,,,
259,66/1,?????? ?????? ??? – ??????,?????? ??????,Ganadasi viranna vachana – virashaiva,Vacana,P,Knn,31x10,1&24,11,60,C,G,,,
260,66/2,??????? ???????? ????? – ??????,,Tatvayoga purnavada mahatva – virashaiva,Vacana,P,Knn,31x10,1&3,11,60,C,G/O,,,
261,66/3,?????????? – ??????,,Shivakravamji – virashaiva,Vacana,P,Knn,31x10,1&,11,60,C,G/O,,,
262,67,??????? ????????? - ??????,?????? ???????,Paramartha prakashik - virashaiva,Kavya,PL,Knn,27x5,1&190,10,60,Inc,O/D,,,
263,67,?????????? ????????? - ??????,????? ????????? ?????,Manovijnana vyakhyana - virashaiva,Kavya,P,Knn,34x11,1&89,8,45,C,G,,,
264,68,?????? ??? - ??????,????? ????????? ?????,Shivadhava shataka - virashaiva,Niti shataka,P,Knn,,1&35,12,45,C,G/O,,,
265,68,??????????? – ??????,?????????,Shat?sthalavachana – virashaiva,Vacana,PL,Knn,30x5,1&78,8,70,C,G,,,
266,69,?????? ??????? – ??????,??????,Halayudha stotra – virashaiva,Stotra,PL,Knn,29.5x5,3&41,10,70,Inc,G,C©ü£ÀªÀ PÉgÉAiÀÄ ¥ÀzÀägÀ¸À£À ªÀÄUÀ «±ÁégÁzsÀå PÀÈvÀ,,
267,69,????????  ???????????? ???? – ??????,????? ??????????????,Shat?sthala  jnanasaramrrita tiku – virashaiva,Vacana,P,Knn,31x10.5,1&29,13,40,Inc,G/O,,,
268,70,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,P,Knn,31x11,1&46,10,45,C,G,"±ÀPÀ:1755 – «dAiÀÄ ¸ÀA. C¢üPÀ, ¨sÁzÀæ¥ÀzÀ& ¥ËtÂğªÀiÁå wy, ±ÀÄPÀæªÁgÀ```",,
269,70,?????? ???????? - ??????,????????????,Virashaiva chimtamani - virashaiva,Jyotisha,PL,Knn,30x6,1&65,11,60,C,G,,,
270,71,????? ???????? – ??????,?????? ???????,Viveka chimtamani – virashaiva,Kavya,PL,Knn,28x5,1&120,10,60,Inc,G,"°¦PÁgÀ: N¢¸ÀÄªÀ §¸ÀªÀ°AUÀzÉÃªÀgÀÄ PÁ®: 1754, UÀt¨sÁ¶vÀ gÀvÀßªÀiÁ¯É ®Ä¥ÀÛ",,
271,71/1,?????? ???????????? ???????? – ??????,,Karasthala nagalimgadevaru trividhi – virashaiva,Vacana,P,Knn,31x11,1&9,14,50,C,G,,,
272,71/2,????? ???? ???????? - ??????,,Anadi jamgama sahasranama - virashaiva,Stotra,P,Knn,31x11,21&34,14,50,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
273,71/3,??????? ???? ????? - ??????,,Mallika mal vrritta - virashaiva,Chandassu,P,Knn,31x11,34,14,50,C,G/O,,,
274,72,??????? ????? - ??????,?????????,Rajashekhara vilasa - virashaiva,Kavya,PL,Knn,26x5.5,1&158,9,50,Inc,G,PÁ®: 1725,,
275,72,????????? ???? ??? - ??????,????? ??????? ??????? ?????? ,Satyemdra cholana kath - virashaiva,Yakshagaana,P,Knn,31x10,1&23,8,40,C,G,"±ÀPÀ 1330, QÃ®PÀ ¸ÀA. ±ÁæªÀt ±ÀÄzÀŞ vÀ¢UÉ ¨ËªÀÄäªÁgÀ °¦PÁgÀ: «ÃgÀ UÀAUÀAiÀÄå",,
276,73, ??????? ??????? - ??????,????? ????, Uddharan sahitya - virashaiva,Tantra-mantra-agama,P,Knn,31x11,1&56,10,45,C,G,,,
277,73/1,??????? ??????? – ??????,,Nilammana stotra – virashaiva,Stotra,PL,Knn,28x6,1&3,12,60,C,G,,,
278,73/1,????????? ?????? ????????? ?????? – ??????,????????? ??????,Marulasiddha svami nirupisida namdya – virashaiva,Stotra,PL,Knn,28x6,19&1&23,12,60,C,G,,,
279,73/11,??????? ??????? – ??????,?????? ??????,Karanagama vardhika – virashaiva,Tantra-mantra-agama,PL,Knn,28x6,23&26,12,60,C,G,1500,,
280,73/12,????????????? ?????? – ??????,??????,Basaveshvarapurana namdya – virashaiva,Stotra,PL,Knn,28x6,26&29,12,60,C,G,,,
281,73/13,???????? ????? ?????? – ??????,?????? ?????????,Someshvara purana namdya – virashaiva,Stotra,PL,Knn,28x6,29&31,12,60,C,G,,,
282,73/14,?????? ????? - ??????,???????,Somanatha kavya - virashaiva,Kavya,PL,Knn,28x6,32&34,12,60,C,G,,,
283,73/15,?????????? ????? ?????? – ??????,,Siddheshvara purana namdya – virashaiva,Stotra,PL,Knn,28x6,34&39,12,60,C,G,,,
284,73/16,????? ????? ?????? – ??????,???????,Saumdara purana namdya – virashaiva,Stotra,PL,Knn,28x6,37&41,12,60,C,G,,,
285,73/17,??????? ?????? ?????? – ??????,???????,Cheramamka kavyada namdya – virashaiva,Stotra,PL,Knn,28x6,41&45,12,60,C,G,,,
286,73/18,????????? ?????? – ??????,?????? ?????? ?????????,Panchashikhagama namdya – virashaiva,Stotra,PL,Knn,28x6,45&49,12,60,C,G,,,
287,73/19,??????????? ?????? – ??????,??????????,Gurucharitra namdya – virashaiva,Stotra,PL,Knn,28x6,49&51,12,60,C,G,,,
288,73/2,????????? ???????,,Nilambika stotra,Stotra,PL,Knn,28x6,3&4,12,60,C,G,,,
289,73/2,???????????? ?????? – ??????,??????? ????????,Shat?sthalatilaka namdya – virashaiva,Stotra,PL,Knn,28x6,51&52,12,60,C,G,,,
290,73/21,??????? ???????? ????? ?????? – ??????,?????????? ,Kttura basaveshvara purana namdya – virashaiva,Stotra,PL,Knn,28x6,53&55,12,60,C,G,,,
291,73/22,???????????? ????? ?????? – ??????,????????? ?????,Channabasaveshvara purana namdya – virashaiva,Stotra,PL,Knn,28x6,55&63,12,60,C,G,,,
292,73/23,????????????? ?????? – ??????,?????? ???????,Prabhudevapurana namdya – virashaiva,Stotra,PL,Knn,28x6,63&69,12,60,C,G,,,
293,73/24,?????? ????? ????????? - ??????,?????????,Vastuka purana lalitavrritta - virashaiva,Kavya,PL,Knn,28x6,69&74,12,60,C,G,,,
294,73/25,????????? ??????-??????,,Malleshvara namdya-virashaiva,Stotra,PL,Knn,28x6,74&78,12,60, C,G,,,
295,73/26,?????????? ?????? – ??????,??????? ????,Shamkarasanhit namdya – virashaiva,Stotra,PL,Knn,28x6,78&85,12,60,C,G,,,
296,73/27,????????? – ??????,,Kamdanandya – virashaiva,Stotra,PL,Knn,28x6,85&87,12,60,C,G,,,
297,73/28,?????????? – ??????,,Devinamdya – virashaiva,Stotra,PL,Knn,28x6,88&89,12,60,C,G,,,
298,73/29,??????? ?????? ????? ?????? – ??????,?????? ?????? ?????????,Halasya vastuka purana namdya – virashaiva,Stotra,PL,Knn,28x6,89&92,12,60,C,G,,,
299,73/3,??????? ?????? - ??????,?????? ???????,Vairagya shatpadi - virashaiva,Stotra,PL,Knn,28x6,92&101,12,60,C,G,,,
300,73/3,????????? – ??????,,Shadvaktaç – virashaiva,Stotra,PL,Knn,28x6,4&1&5,12,60,C,G,,,
301,73/31,??????????? ????? – ??????,??????? ???????????,Limgastotra shatpada – virashaiva,Stotra,PL,Knn,28x6,101&108,12,60,C,G,,,
302,73/32,??????? ?????? - ??????,?????? ?????? ?????????,Shivalimga shatpadi - virashaiva,Stotra,PL,Knn,28x6,108&115,12,60,C,G,,,
303,73/33,???????? ??? – ??????,?????????????????,Shivamahima shataka – virashaiva,Stotra,PL,Knn,28x6,115&122,12,60,C,G,1650,,
304,73/34,???????? ?????? - ??????,????????? ??????,Jnanodaya shatpadi - virashaiva,Kavya,PL,Knn,28x6,123&131,12,60,C,G,,,
305,73/35,????????????? ?????? – ??????,,Gurusampradayaka namdya – virashaiva,Stotra,PL,Knn,28x6,123&131,12,60,C,G,,,
306,73/4,?????? ???????? ?????? – ??????,?????? ?????? ?????????,Murig svamigala namdya – virashaiva,Stotra,PL,Knn,28x6,5&7,12,60,C,G,,,
307,73/5,??????? ?????? – ??????,,Shivalimga namdya – virashaiva,Stotra,PL,Knn,28x6,7&9,12,60,C,G,,,
308,73/6,??????????? – ??????,????????????????????,Gurustotra – virashaiva,Stotra,PL,Knn,28x6,10&11,12,60,C,G,,,
309,73/7,??????????? ?????? – ??????,????????????,Kappinamjayya namdya – virashaiva,Stotra,PL,Knn,28x6,12&14,12,60,C,G,,,
310,73/8,?????? ?????????????  ??????? – ??????,???????????,Murig shamtavirasvami  stotra – virashaiva,Stotra,PL,Knn,28x6,14&1&16,12,60,C,G,,,
311,73/9,?????????? ????? ?????? – ??????,?????? ?????????,Siddheshvara purana namdya – virashaiva,Stotra,PL,Knn,28x6,16&1&19,12,60,C,G,,,
312,74/1,?????? ??????? - ??????,????????,Mahimna stotra –virashaiva,Stotra,PL,Knn,33x3.5,1&6,5,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ    °¦: vÉ®ÄUÀÄ,,
313,74/1,?????????? – ??????,????????,Mamtragopya – virashaiva,Vacana,P,Knn,32x10,1&12,14,50,C,G/O,,,
314,74/2,????? ??????? – ??????,?????,Malhana stotra – virashaiva,Stotra,PL,Knn,33x3.5,7&11,5,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ   °¦: vÉ®ÄUÀÄ,,
315,74/2,????? ????? ????? – ?????? , ???????? ?????,Hiriya mamtra gopya – virashaiva,Vacana,P,Knn,32x10,12&84,14,50,C,G,,,
316,74/3,???????????? -??????,,Shivabhujamgastava -virashaiva,Stotra,PL,Knn,33x3.5,12&15,5,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ    °¦: vÉ®ÄUÀÄ,,
317,74/4,??? ????????? ??? ,,Shiva ashtottara shataka,Stotra,PL,Knn,33x3.5,15&17,5,45,C,G,,,
318,74/5,????????? – ??????,,Mamgalashtaka – virashaiva,Stotra,PL,Knn,33x3.5,17&25,5,45,C,G,,,
319,74/6,?????????? – ??????,?????????? ??????,Sahasragananama – virashaiva,Stotra,PL,Knn,33x3.5,26&34,5,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ   °¦: vÉ®ÄUÀÄ,,
320,74/7,???????? – ??????,?????????? ??????,Haraganamal – virashaiva,Kavya,PL,Knn,33x3.5,35&45,5,45,C,G,,,
321,74/8,??????? ???????? ??? – ??????,,Nijalimga chikkayya kath – virashaiva,Kathe,PL,Knn,33x3.5,1&21,5,45,C,G,,,
322,75/1,????????? ??????? – ??????,???????????,Virasamgayya samgatya – virashaiva,Kavya,PL,Knn,33x2.5,1&89,4,50,C,G,,,
323,75/2,??????? ????? ????? ??? – ??? ,,Siriyala shashthi nompi kath – jaina,Kathe,PL,Knn,33x2.5,1&40,4,50,Inc,O/D,,,
324,76,???????? ???? - ??????,?? : ??????? ????????,Shat?sthala tilaka - virashaiva,Kavya,PL,Knn,32x6,17&157,13,90,Inc,O,,,
325,76,????????? - ??????,?????? ?????????,Shabdamamjari - virashaiva,Vyakarana,P,Knn,32x10,1&17,9,60,Inc,G/O,,,
