Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
114,32/7,???? ????? - ??????,,Niti gramtha - virashaiva,Niti shataka,PL,Knn,,26&28,9,50,C,G,C£ÀÄµÀÄÖ¥ï&¸ÀA¸ÀÌøvÀ ±ÉÆèÃPÀ (ªÀÄÆ®),,
115,33,??????? ????? - ??????,?????? ???,Rajashekhara vilasa - virashaiva,Kavya,P,Knn,32x14,1&134,10,40,C,G,,,
116,33,?????? ?????? ??? – ??????,?????? ???????????,Puratana bdagina vachana – virashaiva,Vacana,PL,Knn,27x5,1&156,12,50,Inc,O,UÀzÀå& ¸ÀnÃPÀÄ,,
117,34,??????? ????? - ??????,?????? ???,Rajashekhara vilasa - virashaiva,Kavya,P,Knn,31x11,1&205,10,45,C,G,,,
118,34/1,?????????? ,,Yogavasishtha,Kavya,PL,Knn,32x5x5,1&20,11,60,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
119,34/1,????????? ???? - ??????,???????,Shivayogamga bhushana - virashaiva,Kavya,PL,Knn,32.5x5,73&87,11,60,C,O,,,
120,34/2,??????? ????? - ??????,???????,Sadguru rahasya - virashaiva,Kavya,PL,Knn,32x5.5,87&97,11,60,C,G,,,
121,34/3,??????????? - ??????,???????,Kalyaneshvara - virashaiva,Kavya,PL,Knn,32x5.5,97&102,11,60,C,O,,,
122,34/4,?????????? - ??????,???????,Svarupamrrita - virashaiva,Kavya,PL,Knn,32x5.5,102&105,11,60,C,G,,,
123,34/5,???????? – ??????,,Vrrishabhagit – virashaiva,Geete,PL,Knn,32x5.5,105&1&110,11,60,C,O,,,
124,34/6,????? ???? – ??????,,Avadhuta git – virashaiva,Geete,PL,Knn,32x5.5,110&111,11,60,C,G/O,,,
125,34/7,??????? – ??????,,Manovijaya – virashaiva,Kavya,PL,Knn,32x5.5,111&1&121,11,60,C,G,,,
126,34/8,??????? ????? - ??????,,Shivalimga mahatva - virashaiva,Kavya,PL,Knn,32x5.5,122&125,11,60,C,G,,,
127,34/9,????? ???????? ???????? ????????? - ??????,????? ????????? ?????,Vijayada tatparya chamdrik vyakhyana - virashaiva,Kavya,PL,Knn,32x5.5,72&101,11,60,Inc,O,,,
128,35,???????? ????? - ??????,??????????,Raghavamkana kavya - virashaiva,Kavya,P,Knn,31x11,1&234,9,40,C,O/D,,,
129,35,?????? ???,,Lavakushara kath,Yakshagaana,PL,Knn,26x5.5,1&34,8,35,Inc,O/D,,,
