SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
200,42/21,"??????? ????????
a?vattha st?tra?",Vyasa,PL,N.Na,29x5,128 To 130,Stotra,9,48,C,G,From : Bhavisottara Purana
201,42/22,"??? ???? ???????
j?ta karma pray?ga?",,PL,N.Na,29x5,131 To , G- Prayoga   ,7,48,C,G,
202,42/23,"??????
n?makara?a",,PL,N.Na,29x5,132, G- Prayoga   ,9,48,C ,G,
203,42/24,"?????????? ?????
annapr??ana vidhi?",,PL,N.Na,29x5,133 To , G- Prayoga   ,7,48,C,G,
204,42/25,"?????? ??????
ugraratha ???ti?",,PL,N.Na,29x5,134 To 157,Shanti,7,48,C ,G,
205,42/26,"????? ???????
upanayana pray?ga?",,PL,N.Na,29x5,160 To 178, G- Prayoga   ,8,50,C,G,
206,42/27,"????? ??????
s?p?na k?rik?",????????,PL,N.Na,29x5,179 To 180, G- Prayoga   ,8,50,C,G,
207,42/28,"??? ???? ?????
da?ta dh?vana vidhi?",,PL,N.Na,29x5,183 To , G- Prayoga   ,8,50,Inc.,GO,
208,42/3,"???? ?????? ?????
a??a p?tre d?vat?",,PL,N.Na,29x5,18 To 20, G- Prayoga   ,6,45,C,GO,
209,42/30,"???????????? ?????
tripa?cad?vat? s?kta",,PL,N.Na,29x5,187 To 197,Veda - Mantra,7,48,C,G,
210,42/31,"??????? ???????????? ?????
a?vattha prati??h?pan? vidhi?",????,PL,N.Na,29x5,200 To 201, G- Prayoga   ,7,48,C,G,
211,42/32,"???????????? ????
a?vatth?panayana vidhi",,PL,N.Na,29x5,201 To 204, G- Prayoga   ,7,42,C,G,Saunakiya 
212,42/33,"??????? ????? ???????
a?vattha viv?ha pray?ga?",,PL,N.Na,29x5,205 To 206, G- Prayoga   ,8,50,C,OD,Asvalayaniya 
213,42/34,"????? ?????
dhruva s?kta",,PL,N.Na,29x5,206 To 207,Veda - Mantra,7,42,C,OD,
214,42/35,"??????????????? ?????
n?gaprati??h?pan? vidhi?",,PL,N.Na,29x5,208 To 209,Shanti,7,42,C,OD ,Saunakiya
215,42/36,"??????????? ?????
sarpasa?sk?ra vidhi?",,PL,N.Na,29x5,209 To 212,Shanti,7,42,C,G,Saunakiya 
216,42/37,"??????????? ?????
sarpasa?sk?ra vidhi?",,PL,N.Na,29x5,213 To 217, G- Prayoga   ,7,42,C,G,
217,42/38,"?????? ?????????
v?stu r?k??ghna",,PL,N.Na,29x5,218 To 243, G- Prayoga   ,7,48,C,GO,
218,42/39,"????????? ???? ?????
rudr?k?a dh?ra?a vidhi?",,PL,N. Na,29x5,244,shaiva,9,50,C,OD,
219,42/4,"??????? ?????
sarasvat? s?kta",,PL,N.Na,29x5,21 To 30,Veda - Mantra,6,45,C,O,
220,42/40,"???????? ????? ????? ??????
??val?yana g?hya s?tra k?rik?",????????,PL,N.Na,29x5,1 To 18,Grahyasutra,7,42,Inc.,OD,
221,42/41,"???? ??? ???????
m?dh? janana pray?ga?",,PL,N.Na,29x5,19 To , G- Prayoga   ,7,42,C,OD,
222,42/42,"???????? ?????
samid?d?na vidhi?",,PL,N.Na,29x5,19 To 1, G- Prayoga   ,7,42,Inc.,OD,
223,42/43,"???????????
anupravacan?ya",,PL,N.Na,29x5,20, G- Prayoga   ,7,42,C ,OD,
224,42/44,"????????? ?????
mah?n?mni vrata?",,PL,N.Na,29x5,21 To , G- Prayoga   ,8,50,C,G,
225,42/45,"??????? ??? ?????
ana?v?ha d?na vidhi?",,PL,N.Na,29x5,58 To 66,Shanti,7,42,C,Go,Naradiya 
226,42/5,"???????? ????? ?????
m?ttik? sn?na vidhi?",,PL,N.Na,29x5,31 To 33, G- Prayoga   ,6,45,C,GO,
227,42/6,"??? ??????
mah? ny?sa?",,PL,N.Na,29x5,34 To 44, pooja,6,45,Inc. ,O,
228,42/7,"????? ?????
puru?a s?kta",,PL,N.Na,29x5,45 To 61,Veda - Mantra,6,45,C,G,
229,42/8,"????? ?????
ga?apati s?kta",,PL,N.Na,29x5,73 To 74,Veda - Mantra,6,45,C,G,
230,42/9,"?????? ?????
vi??u s?kta",,PL,N.Na,29x5,74 To 79,Veda - Mantra,6,45,C ,G,
231,43/1,"??????????? ????????
?a?pa?c??ik? vy?khy?",Bhattotpala,P,D,20.5x10.5 ,1 To 16,Jautisha,14,30,C,G,"Saka-1756, Year-1836, Jaya Sam, "
232,43/1,"??????? ?????
sudar?ana bh??ya",?????????????,""" PL "" ""","N.Na TU "" """,35x5 34x5 19x5.5 19x5.5,1 To 9814 To 871 To 231 To 8,Grahyasutra,7 9 9 8,65 45 20 20, Inc. ,G OD,
233,43/10 ,"???? ??????
tithi nir?aya",,P,D,20.5x10,1 To 16,Jautisha,9,23,C,DW,"Saka-1714, Year-1793 Paridhavi Sam, "
234,43/11,"????? ????????
v?dapada st?tra?",Jaimini,P,D,20x10,1 To 9,Stotra,11,36,C,G,From : Pundarika Mahatmya
235,43/12,"??? ????????????
mah? vi??upaddhati",,P,D,22x11,1 To 23,Smriti,10,30,Inc.,DW,
236,43/13,"???? ???????????? ???????
sarva pr?ya?citta pray?ga?",,P,D,21.5x11,1 To 3, G- Prayoga   ,17,38,C,G,
237,43/2,"????? ??????????
vai??kha m?h?tmya?",   Vyasa,P,D,21.5x11,1 To 77,Purana,13,35,Inc.,DW,Scribe : Balakrishna 
238,43/2,"???????????? ??????
aitar?y?pani?at bh??ya?",,PL,N.Na,35x5,1 To 24,Upanisat,7,65,C,G,
239,43/3,"??????? ???????? ????
muh?rta m?rt???a ??k?",Martanda Vallabha,P,D ,21.5x11,1 To 143,Jautisha,14,32,C,DW,Scribe: Balakrsna
240,43/4,"????????
r?p?va?i?",,P,D,21.5x11,1 To 32,Vyakarana,9,30,C ,G,"Saka - 1777, Year - 1856, Raksasa sam, "
241,43/5,"??? ??????
?auca nir?aya",,P,D,21.5x11,1 To 5, G- Prayoga   ,12,32,Inc,G,
242,43/6,"?? ??? ?????
g? d?na vidhi?",,P,D,21.5x11,1 To 5, G- Prayoga   ,12,32,C,DW,"From, Vaitarani Scribe : Bala Krishna "
243,43/7,"?????? ?????? ????
v?stu prak?ra ??k?",Sripati,P,D,21.5x11,1 To 3,Jautisha,18,46,C,DW,"Script: Devanagari, Kannada Language"
244,43/8,"?????? ??????
v?stu ???ti?",,P,D,21.5x11,1 To 16, G- Prayoga   ,12,32,C,DW,"Saka 1760 yearto1839 Vilambi sam Jesta suto1 Scribe: Balakrsna script: Tulu, Language: Tulu"
245,43/9,"?????? ?????
vi??u s?kta",,P,D,21.5x11,1 To 9,Veda - Mantra,10,25,Inc.,G,
246,44,"?????? ?????
sany?sa vidhi?",,P,D,20.5x10,1 To 17, G- Prayoga   ,10,25,C,DW,"Sa 1753, Year 1832. Khar sam Uttarayana sasi rutu palguna, Krishna Mandavasara, scribe : Vinayaka"
247,44/1,"???????? ???????
s?valip?ka pray?ga?",??????? ????,PL,N.Na,27x5 ,1 To 39, G- Prayoga   ,6,46,Inc.,G,
248,44/11,"?????? ??????
upakarma nir?aya",,PL,N.Na,27x5,126 To 128, G- Prayoga   ,7,50,Inc.,G,
249,44/12,"?????? ??????
upakarma nir?aya",,PL,N.Na,27x5,129 To 135, G- Prayoga   ,8,52,C,G,
250,44/13,"?????? ??????
?k?da?? nir?aya",,PL,N.Na,27x5, To , G- Prayoga   ,9,50,C ,G,
251,44/2,"??????????
ma?ga????aka?",,PL,N.Na,27x5,40 To 43,Stotra,7,46,Inc.,G,
252,44/3,"?????????
mah?sa?kalpa",,PL,N.Na,27x5,44 To 50, G- Prayoga   ,8,50,C ,G,
253,44/4,"???????? ????? ????? ?????
??val?yana g?hya s?tra bh??ya",,PL,N.Na.,27x5,51 To 65,Grahyasutra,6,45,C,G,
254,44/5,"?????? ???????
pray?ga p?rij?ta",??????,PL,N.Na,27x5,66 To 69, G- Prayoga   ,6,45,Inc.,G,
255,44/6,"???? ??????
yajña d?pik?",,PL,N.Na,27x5,69 To 78, G- Prayoga   ,6,45,C ,G,
256,44/7,"?????? ?????
nir?aya si?dhu",?????? ????,PL,N.Na,27x5,97 To 116, G- Prayoga   ,6,45,Inc. ,GO,
257,44/8,"??? ??????
k?pa ???ti?",,PL,N.Na,27x5,117 To 118,Shanti,7,50,C ,G,Saunka 
258,44/9,"?????? ????????? ??????
udy?na prati??? ???ti?",,PL,N.Na,27x5,118 To 1 To 122,Shanti,7,50,C,G,
259,45/1,"??????? ????????
muh?rta ci?t?ma?i",Rama Daivajna,P,D,19.5x10 ,1 To 55,Jautisha,10,25,Inc.,ODW,"Saka-1692, Year-1771, Vikriti Sam, "
260,45/1,"??? ?????????????
?k sarv?nukrama?i",,PL,N.Na,23x6,1 To 52,Vedanga,7,38,C,G,
261,45/3,"??? ??????????? ?????
?k sarv?nukrama vivara?a",,PL,""" ",23x6,1 To 80,Vedanga,9,28,C,G,
262,45/4,"??? ??????????
?k prati??khya",????,PL,N.Na,23x6,1 To 51,Vedanga,9,28,C,G,
263,46/1,"??????? ????????
?anai?cara st?tra?",Pippalada,PL,N.Na,28x5,1 To 6,Stotra,9,50,C,OD,
264,46/1,"???????? ???????
?dy?tma prakara?a?",,P,D,20x10,1 To 7,Vedantha,18,36,Inc. ,G,
265,46/10,"?????? ?????
s?mav?ra vrata?",,PL,N.Na,28x5,22 To 32,Vrata,9,50,C ,GO,
266,46/11,"?????? ??????? ?????
vin?yaka caturth? vrata?",,PL,N.Na,28x5,1 To 3,Vrata,6,45,C,G,
267,46/12,"????? ???? ?????
yamun? p?j? vidhi?",,PL,N.Na,28x5,4 To 8 To 1, pooja,9,50,C,G,
268,46/13,"?????? ???? ???
vin?yaka vrata kath?",,PL,N.Na,28x5,8 To 1,Vrata-Katha,9,50,C,G,From : Skanda purana
269,46/14,"????????? ????
ana?tavrata? kalpa",,PL,N.Na,28x5,9 To 14,Vrata,9,50,Inc.,O,
270,46/15,"???? ???????? ???? ???
ana?ta caturda?? vrata kath?",,PL,N.Na,28x5,14 To 1 To 20,Vrata-Katha,9,50,C,G,""""
271,46/16,"????? ????? ????????
?akti v?dapada st?tra?",,PL,N.Na,28x5,1 To 8,Stotra,9,50,C,OD,"Sa - 1758, Year - 1837 Manmtha sam, "
272,46/2,"????????? ????????
m?tyu?jaya st?tra?",Vyasa,PL,N.Na,23x5,Foliosmissing,Stotra,8,35,Inc.,OD,
273,46/2,"??? ???????
pa?ca mah?yajña",,P,D,20x10,1 To 7,G- Prayoga   ,18,36,C,G,
274,46/3,"???????????? ?????
jy?ti?sta?bha vrata?",,PL,N.Na,28x5,1 To 2,Vrata,10,54,C,G,
275,46/3,"???????
vyavah?ra",,P,D,20x10,1 To 2,Smriti,18,36,C,G ,
276,46/4,"???????????? ???? ???
jy?ti?sta?bha vrata kath?",,PL,N.Na,28x5,2 To 1 To 4 To 1,Vrata-Katha,10,54,C,GO,""""
277,46/4,"???????????????
atharva??r?pani?at",,P,D,20.5x10,1 To 10,Upanisat,9,31,C,OD,"Saka 1635to1714, Vijayasam Bhadrapadato 8,9,"
278,46/5,"????????? ?????
n?garapa?cam? vrata?",,PL,N.Na,28x5,4 To 1 To 7,Vrata,9,50,C,G,
279,46/6,"????????? ???? ???
n?garapa?cam? vrata kath?",,PL,N.Na,28x5,7 To 11,Vrata-Katha,9,50,C,GO,From : Garuda purana
280,46/7,"??????? ?????
siriy??a vrata?",,PL,N.Na,28x5,12 To 13 To 1,Vrata,9,50,C,G,
281,46/8,"??????? ???? ???
siriy??a vrata kath?",,PL,N.Na,28x5,13 To 1 To 14,Vrata-Katha,9,50,C,G,From : Skanda purana
282,46/9,"????????? ?????
?aniprad??a vrata?",,PL,N.Na,28x5,15 To 21,Vrata,8,50,C,GO,
283,47,"????? ???? ?????
t?mra bhasma vidhi?",,P,D,19.5x10,1 To 2,Vaidya,12,40,C,G,
284,47/1,"????????????? ?????
?r?va?adv?da?? vrata?",,PL,N.Na,20x4,1 To 11,Vrata,8,36,C,G,
285,47/10,"????? ???? ?????
vy?sa p?j? vidhi?",,PL,N.Na,28x5,13 To 27, pooja,9,50,C,G,
286,47/11,"???????? ?????
bhasmadh?ra?a vidhi?",,PL,N.Na,28x5,27 To , G- Prayoga   ,9,50,C,G,
287,47/12,"??? ?????
da??a lak?a?a",,PL,N.Na,28x5,27 To 1 To 28, G- Prayoga   ,9,50,C,GO,
288,47/13,"???????
pa?c?kara?a",,PL,N. Na,28x5,28 To 1 To 31,Jautisha,9,50,C,GO,
289,47/2,"????????????? ???? ???
?r?va?adv?da?? vrata kath?",,PL,N.Na,20x4,12 To 18,Vrata-Katha,8,36,Inc.,GO,
290,47/3,"????????? ?????
am?s?mav?ra vrata?",,PL,N.Na,24x5,1 To 5,Vrata,10,43,C,G,
291,47/4,"??????? ???? ???
a?vattha vrata kath?",,PL,N.Na,24x5,6 To 10,Vrata-Katha,10,43,C ,G,From : Bhavisottara purana
292,47/5,"?????????? ?????
k?d?r??vara vrata?",,PL,N.Na,24x5,1 To 29,Vrata,7,35,C,G,
293,47/6,"?????????? ???? ???
k?d?r??vara vrata kath?",,PL,N.Na,24x5,29 To 50,Vrata-Katha,8,40,C,G,From : Skanda purana
294,47/7,"???? ???? ???
?a?kara vrata kath?",,PL,N.Na,24x5,51 To 53,Vrata-Katha,8,40,C ,G,From : Skanda purana
295,47/8,"?????? ?????
sany?sa vidhi?",,P,N.Na,24x5,1 To 6, G- Prayoga   ,8,48,C,G,
296,47/9,"??? ??????? ?????
yati sa?sk?ra vidhi?",,PL,N.Na,28x5,7 To 12, G- Prayoga   ,9,50,C,Go,
297,48/1,"?????? ???????????
r?man?ma l?khan?dy?pana",,PL,N.Na,45x4,1 To 3,Vrata,6,62,C,G,From : Visnottarapurana
298,48/1,"????????? ?????
param?dvaita dar?ana",,P,D,19.5x10,1 To 10,Jautisha,16,42,C,G,
299,48/10,"????????? ????? ??? ???
sa?kr??ti vrata? d?pa kath?",,PL,N.Na,45x4,17 To 19,Vrata-Katha,6,62,C,G,From : Skanda purana
300,48/11,"????????? ??? ????????????
sa?kr??ti d?pa vrat?dy?pana?",,PL,N.Na,45x4,19 To 1 To 20,Vrata,6,62,C,G,From : Skandapurana
301,48/12,"????????? ????????? ?????
sa?kr??ti d?p?r?dhan? vidhi?",,PL,N.Na,45x4,20 To 1 To 21,Vrata,6,62,C,G,
302,48/13,"??????????? ????????????
?anitray?da?? vrat?dy?pana?",,PL,N.Na,45x4,21 To 1 To 23,Vrata,6,62,C,G,
303,48/14,"???? ????? ????????????
v?mana jaya?t? vrat?dy?pana?",,PL,N.Na,45x4,23 To 24,Vrata,6,62,C,G,
304,48/15,"?????? ????????????????
vaiku??ha caturda??yudy?pana",,PL,N.Na,45x4,24 To 1,Vrata,6,62,C,G,
305,48/17,"????? ???????? ???? ?????
sahasra br?hma?a bh?jana vidhi?",,PL,45x4 ,25to1to26,6,Shanti,62,C,G,From : Brahamandapurana,
306,48/18,"???? ??????? ??????
kadal? ?l?dbhava ???ti?",,PL,N.Na,45x4,26 To 1 To 27,Shanti,6,62,C,G,
307,48/2,"???? ??? ????????????
lak?a ga?dha vrat?dy?pana?",,PL,N.Na,45x4,3 To 4,Vrata,6,62,C,G,
308,48/2,"???????
pa?c?kara?a",,P,D,19.5x10,1 To 4,Jautisha,16,42,C,G ,"Saka-1773, Year-1851, Virodhi Sam, "
309,48/21,"?????????? ??????
?v?n?r?ha?a ???ti?",,PL,N.Na,45x4,28 To 29,Shanti,6,62,C,G,
310,48/24,"???????????? ???? ???
j???halak?m? vrata kath?",,PL,N.Na,45x4,29 To 32,Vrata-Katha,6,62,C ,G,From : Bhavisottara purana
311,48/25,"??? ?????????? ?????
r?ma pa???bhi??ka vidhi?",,PL,N.Na,45x4,32 To 39, pooja,6,62,C,G,From : Ramarcana Candrikaya
312,48/26,"????? ???? ?????
vy?sa p?j? vidhi?",,PL,N.Na,45x4,39 To 1 To 42, pooja,6,62,Inc.,D,
313,48/27,"??????? ???? ???
siriy??a vrata kath?",,PL,N.Na,45x4,43,Vrata-Katha,6,62,C,G,From : Garuda purana
314,48/28,"?????????? ????????????
svar?agaur? vrat?dy?pana?",,PL,N.Na,45x4,43 To 1 To 44,Vrata,6,62,C,G,From : Skandapurana
315,48/29,"????? ????????????
bilva vrat?dy?pana?",,PL,N.Na,45x4,44 To 1 To 45,Vrata,6,62,C,G,From : Lingapurna
316,48/3,"????????? ?????
nityagaur? vrata?",,PL,N.Na,45x4,1 To ,Vrata,6,62,C,G,
317,48/3,"?????? ????? ?????
brahma pra?ava lak?a?a",,P,""" ",19.5x10,1 To 15,Jautisha,16,42,C,G,""""
318,48/3,"?????? ?????? ??????
?gv?da sa?hit? bh??ya?",,P,D,19.5x10,1,Samhita,16,42,C,G,
319,48/30,"????????? ????????????
lak?avarti vrat?dy?pana?",,PL,N.Na,45x4,45 To 1 To 46,Vrata,6,62,C,G,From : Skandpurana Kalisamhita
320,48/31,"????????? ???????
lak?avarti udy?pana",,PL,N.Na,45x4,47 To ,Vrata,6,62,C,G,
321,48/32,"??????? ????????????
d?rana??a pr?ya?citta",,PL,N.Na,45x4,47 To 1 To 48,Vrata,6,62,C,G,
322,48/33,"???? ????????????
ana?ta vrat?dy?pana?",,PL,N.Na,45x4,48 To 1 To 52,Vrata,6,62,C,OD,
323,48/34,"?? ???? ?????
g? padma vrata?",,PL,N.Na,45x4,52 To 53 To 1,Vrata,6,62,C,OD,
324,48/35,"?????? ???? ???
g?padma vrata kath?",,PL,N.Na,45x4,53 To 1 To 54,Vrata-Katha,6,62,C,OD,From : Bhavisottara purana
325,48/36,"????????? ?????
nityagaur? vrata?",,PL,N.Na,45x4,55 To 56,Vrata,6,62,C,OD,
326,48/37,"????? ?????????? ??????
sahasra ca?dradar?ana ???ti?",,PL,N.Na,45x4,56 To 1 To 57,Shanti,6,62,C,OD,Bodhayana 
327,48/38,"??????????? ????????????
lak?anamask?ra vrat?dy?pana?",,PL,N.Na,45x4 ,57 To 1 To 58,Vrata,6,62,C,OD,From : Bhavisottara Purana
328,48/39,"??????????? ????????????
lak?asvasti vrat?dy?pana?",,PL,N.Na,45x4,58 To ,Vrata,6,62,C,OD,From : Skandapurana
329,48/4,"????????? ????????????
lak?apu?pa vrat?dy?pana?",,PL,N.Na,45x4,5 To 7,Vrata,6,62,C,G,From : Brahmasamhita
330,48/4,"???????? ????????
mah?v?kya ratn?va?i",Rama Candrendra,P,D,19.5x10 ,1 To 12,Jautisha,16,42,C,G,
331,48/40,"???? ?????? ?????????????
lak?a arisina ku?kum?dy?pana",,PL,N.Na,45x4,59 To 60,Vrata,6,62,C,OD,
332,48/41,"?????? ????? ?????
n?si?ha jaya?t? vrata?",,PL,N.Na,45x4,60 To 62,Vrata,6,62,C,ODW,
333,48/42,"?????? ???????? ?????
n?si?ha caturda?? vrata?",,PL,N.Na,45x4 ,62 To 64 To 1,Vrata-Katha,6,62,C,OD,From : Brahmad purana
334,48/43,"??? ??????
udaka ???ti?",,PL,N.Na,45x4,64 To 1 To 65,Shanti,6,62,C,OD,
335,48/44,"?????? ??????? ?????
vin?yaka caturth? vrata?",,PL,N.Na,45x4,65 To 1 To 67,Vrata,6,62,C,OD,From : Skandapurana
336,48/45,"???? ?????? ????????????
pak?a prad??a vrat?dy?pana?",,PL,N.Na,45x4,68 To ,Vrata,6,62,C,G,From : Skandapurana
337,48/46,"????????? ?????
garu?apa?cam? vrata?",,PL,N.Na,45x4,68 To 71,Vrata,6,62,C,G,From : Garudapurana
338,48/47,"?????????? ????????????
um?mah??vara vrat?dy?pana?",,PL,N.Na,45x4,71 To 1 To 72,Vrata,6,62,C,G,From : Dharmottara Khanda
339,48/48,"??? ??????
mah? ny?sa?",,PL,N.Na,45x4,1 To 14, pooja,6,62,C,G,
340,48/49,"??????? ?????
?ivap?j? vidhi?",,PL,N.Na,45x4,1 To , pooja,6,62,C ,G,
341,48/5,"????? ?????????????
nitya s?mav?r?dy?pana",,PL,N.Na,45x4,7 To 9,Vrata,6,62,C,G,
342,48/5,"?????? ????? ?????
brahma pra?ava lak?a?a",,P,""" ",19.5x10,1 To 15,Jautisha,16,42,C,G ,
343,48/50,"?????? ???
p?rva?a h?ma",,PL,N.Na,45x4,1 To ,Grahyasutra,6,62,C ,G,
344,48/51,"???????????? ????????????
bi?dudv?da?? vrat?dy?pana?",,PL,N.Na,45x4,2 To 10,Vrata,6,62,C,Go,
345,48/52,"???? ??????? ???????
m?si ?r?ddha pray?ga?",,PL,N.Na,45x4,1 To 7, G- Prayoga   ,6,62,Inc.,GO,
346,48/53,"????????????
pit?m?dhakanik?",,PL,N.Na.,45x4,1 To 6, G- Prayoga   ,6,62,C,GO,
347,48/54,"?????????? ?????
s?t?kaly??a vidhi?",,PL,N.Na,45x4,1 To 5, pooja,6,62,C ,G,
348,48/6,"???????????? ????????????
bi?dudv?da?? vrat?dy?pana?",,PL,N.Na,45x4,9 To 10,Vrata,6,62,C,G,From : Skandapurana
349,48/6,"?????? ????? ?????
tattva jñ?na vivara?a",Ramacandra Yogi,P,D ,19.5x10,1 To 7,Jautisha,16,42,C,G,"Saka: 1773 Year- 1851, Virodhi Sam, "
350,48/7,"????????? ?????
am?s?mav?ra vrata?",,PL,N.Na,,,Vrata,,,,,
351,48/7,"??????????? ?????????
svar?padar?ana siddh??jana",,P,D,19.5x10,1 To 8,Yoga,16,42,C,G,"Saka - 1773, Year - 1852, Virodhi sam, "
352,48/8,"???????? ????????????
??ipa?cam? vrat?dy?pana?",,PL,N.Na,45x4,11 To 1 To 16,Vrata,6,62,C,G,From : Brahmanda Purana
353,48/8,"?????? ????? ??????
brahma pra?ava d?pik?",Ramacandrendra,P,""" ",19.5x10,1 To 10,Jautisha,16,42,C,G,Saka: 1773 Year: 1851
354,48/9,"????????? ??? ????????????
sa?kr??ti d?pa vrat?dy?pana?",,PL,N.Na,45x4,16 To 1 To 17,Vrata,6,62,C,G,
355,49,"???????
r?m?ya?a?",,PL,N.Na,37x3,1 To 107,Itihasa,8,70,Inc,G,"Uttara kanda only Yuva sam, pratitorja "
356,49/1,"?????? ?????? (???????? ????)
?gv?da sa?hit? (sakalasmita padapa?a)",,P,D,20x10.5,1 To 101,Samhita,10,20,Inc,G,"Saka to 1760 to year 1839 Sravana 9, Rohini Bhumavara Scribe : Balakrishna"
357,49/2,"????? ?????????
k???a yajusa?hit?",,P,D,20x10.5,1 To 83,Samhita,10,20,Inc.,G,
358,49/3,"???????? ???? ?????
navar?tr? p?j? vidhi?",,P,D,21x10,1 To 13, pooja,10,28,C,G,"Saka- 1752, Year 1831, Vikritisam "
359,50/1,"???????? ??????
siddh??ta kaumudi",Bhattojidiksita+,PL,N.Na,45x4,1 To 92,Vyakarana,7,90,Inc.,OD,
360,50/1,"?????????????
ara?yak?pani?at",,P,D,20x10,1 To 2,Upanisat,13,35,Inc.,G,
361,50/2,"????? ???????? ????????
lalit? sahasran?ma st?tra?",Vyasa,P,D,20x10,1 To 10,Stotra,13,35,C,G,"Saka - 1804, Year - 1883, Citra Banu "
362,50/2,"??????? ??????? ??????????? (??????? ??????)
vaiy?kara?a paribh??? prad?p?rci (paribh??? bh?skara)",Sesadri Sudhi,PL,N.Na,45x4,1 To 20,Vyakarana,7,90,Inc.,OD,
363,51,"????????
mah?bh?rata?",Ananda tirta,PL,N.Na,34x3,1 To 156,Itihasa,9,70,Inc.,OD,
364,51,"??????????? ????
vair?gya?ataka? ??k?",Harikavi Diksita,P,D,20x10,1 To 13,Subhashita,13,31,C,G,"Saka - 1665, Year - 1744, "
365,52,"????? ??????? ????????
siddha s?rasvata st?tra?",,P,D,21x10,1 To 10,Stotra,11,32,C,O,
366,52/1,"???? ????
tarka bh???",Kesava Misara,PL,N.Na,48x5,1 To 19,Nyaya,9,88,C,G,
367,52/2,"???? ???? ????????
tarka bh??? vy?khy?",Chennu bhatta,PL,N.Na,48x5,20 To 88,Nyaya,9,88,C,OD,
368,52/3,"???? ???? ????????
tarka bh??? vy?khy?",Gauri Kantha,PL,N.Na,48x5,90 To 142,Nyaya,9,88,Inc. ,G,
369,53,"?????????????? ??????
tattvaci?t?ma?i prak??a",Rucidatta,PL,N.Na,41x3,65 To 171,Nyaya,8,85,Inc.,OD,
370,53,"?????? ????
pray?ga ratna",?????? ????,P,D,21x11,1 To 120, G- Prayoga   ,11,25,C,GO,"Datusam Asvija Masa Krishna paksa to 2 Guruvara, Scribe : Narayana Bhatta"
371,54/1,"????????????
r?mak????m?ta",,PL,N.Na,41x4,1 To 5,Kavya,9,85,Inc.,G,
372,54/1,"??????? ???????
nak?atra c???ma?i",,P,D,22x11,1 To 34,Jautisha,10,32,C,G,Scribe: Balakrishna
373,54/2,"?????? ????????
prab?dha ca?dr?daya",Krishnamisra,PL,N.Na,41x4,1 To 40,Nataka,6,85,C,G,Scribe : Sita Rama
374,54/2,"???????
kalpalat?",,P,D,22x11,1 To 21,Jautisha,10,32,C,G ,
375,55,"???????
ratnap?na",Kumaraswami,PL ,N.Na,42x3,1 To 141,Alankara,8,78,C,OD,Scribe : Narayana
376,55,"????? ????
s?tra p??ha?",,P,D,21x10,1 To 21,Vyakarana,9,35,Inc.,DW ,
377,56,"??????
bh?gavata?",Vyasa,TU,N.Na,42x4,1 To 142,Purana,7,81,Inc.,GO,"Chitra Banusam, vaisaka su, "
378,56/1,"????? ??????????
tu?as? m?h?tmya?",Vyasa,P,D,20x10,1 To 59,Purana,10,25,C,G,"From : Padma Purana, "
379,56/2,"??? ??????????
m?gha m?h?tmya?",Vyasa,P,D,20x10,1 To 176,Purana,10,25,C,G,"From : Padmapurana, Scribe : Balakrsna "
380,57,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,PL,N.Na,43x4,6 To 112,Nighantu,8,105,Inc.,ODW,
381,57/1,"??????? ????? ????
muh?rta darpa?a ??k?",,P,D,20x10.5,1 To 151,Jautisha,9,26,Inc.,ODW,"Script: Devanagari, Kannada Language, "
382,58/1,"?????? ?? ????????
v?d??ta pada st?tra?",Hanumantha,PL,N.Na,40x4,1 To 5,Stotra,7,64,C,OD,From : Brahmanda Purana
383,58/1,"????? ??????? ????????
siddha s?rasvata st?tra?",,P,D,21x11,1 To 4,Stotra,12,35,C,G,Scribe : Ananda 
384,58/2,"??????????? ????????
ha?haprad?pik? vy?khy?",,P,D,19.5x10,1 To 22,Yoga,17,42,C,G,"Saka - 1760, Year - 1839, Vilambi sam, "
385,58/2,"??????? ???????
up?karma pray?ga?",,PL,N.Na,40x4,6 To 12, G- Prayoga   ,7,64,C,OD,
386,58/3,"???????????????
a?vatthast?tra?",,P,D,19.5x10,1 To 4,Stotra,10,30,C,G,"From : Brahmanda Purana Sa - 1762, "
387,58/3,"???????? ?????
k??m???a s?kta",,PL,N.Na,40x4,7Folios,Veda - Mantra,7,64,Inc.,OD,
388,58/4,"??????? ????????
hanum?n st?tra?",Vibhisana,PL,N.Na,40x4,12folios,Stotra,7,64,C,OD,
389,58/4,"?????? ???????
pray?ga c???ma?i",,P,D,22x10.5,1 To 25, G- Prayoga   ,9,31,C,G,"Saka 1766, Year to 1845, Krodhisam, Uttaraayana Vaisaka, Suto10, ravivara, Scribe to Ananta"
390,59/1,"??????? ?????
r?manavam? vrata?",,PL,N.Na,44x4,1 To 4,Vrata,6,77,C,G,
391,59/1,"??????? ?????
pa?c?da?? stava?",,P,D,20x9.5,1 To 2,Stotra,14,40,C,G,
392,59/10,"?????????? ???? ???
k???ajaya?t? vrata kath?",,PL,N.Na,44x4,31,Vrata-Katha,6,77,C,G,From : Skanda purana
393,59/11,"?????????? ?????
svar?agaur? vrata?",,PL,N.Na,44x4,31 To 1,Vrata,6,77,C,G,
