SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
7237,1977/49,"???? ??????
kuh? ???ti?",,pl,N.Na,38x3,&,Shanti,&,&,C   ,,
7238,1977/5,"????? ???????? ??? ??????
k???a caturda?? janana ???ti?",,pl,N.Na,38x3,20&22,Shanti,5,65,C   ,O/D ,
7239,1977/50,"???????? ????? ??????
tray?da?? vrata? ???ti?",,pl,N.Na,38x3,102&106,Shanti,5,65,C   ,O/D ,
7240,1977/51,"??? ??? ?????
cauga d?na vidhi?",,pl,N.Na,38x3,106&107,Shanti,5,65,C   ,G ,
7241,1977/52,"????? ??? ??????
pall? patana ???ti?",,pl,N.Na,38x3,107&109,Shanti,5,65,C   ,G ,
7242,1977/53,"????????? ??????
du?svapna ???ti?",,pl,N.Na,38x3,109&1,Shanti,5,65,Inc,G /O,
7243,1977/54,"???????? ?????
s?m??vara vrata?",,pl,N.Na,38x3,122&124,Shanti,5,65,Inc,O,
7244,1977/55,"???? ???????? ????????????
k??e s?m??vara vrat?dy?pana?",,pl,N.Na,38x3,125,Shanti,5,65,C   ,G ,
7245,1977/56,"????? ?????? ???????
?rava?a ???ti? varavrata?",,pl,N.Na,38x3,124&1&129,Shanti,5,65,C   ,G ,????? ??????
7246,1977/57,"?????????
graha???ti",,pl,N.Na,38x3,129&137,Shanti,5,65,C   ,G ,?????
7247,1977/58,"?????? ????? ??? ?????
navagraha prati d?na vidhi?",,pl,N.Na,38x3,137&1&146,Shanti,5,65,C   ,G ,
7248,1977/59,"???????????????? ?????
janmatithy?dy?pana vidhi?",,pl,N.Na,38x3,146&149,Shanti,5,65,C   ,G ,
7249,1977/6,"?????? ???????? ?????
n?si?ha pratimadana vidhi?",,pl,N.Na,38x3,23&26,Shanti,5,65,C   ,O/D ,?????
7250,1977/60,"???? ????? ?????
guru ?ukra mau?hya",,pl,N.Na,38x3,149&157,Shanti,5,65,Inc,G ,
7251,1977/61,"???????? ?????? ??????
vyat?p?ta vaidh?ti ???ti?",,pl,N.Na,38x3,157&158,Shanti,5,65,&,& ,
7252,1977/62,"??????? ?????????? ??????
vi?an??i pratham?rthava ???ti?",,pl,N.Na,38x3,158&160,Shanti,5,65,&,&,
7253,1977/63,"??????? ??????
caturth? ???ti?",,pl,N.Na,38x3,160&1&161,Shanti,5,65,C   ,G/O ,
7254,1977/64,"??????? ?????????? ??????
caturth? pratham?rthava ???ti?",,pl,N.Na,38x3,161&,Shanti,5,65,C   ,G ,
7255,1977/65,"?????? ??????
?k?da?? ???ti?",,pl,N.Na,38x3,161&162,Shanti,5,65,C   ,G ,
7256,1977/66,"???????? ??????
paur?amas? ???ti?",,pl,N.Na,38x3,162&,Shanti,5,65,C   ,G ,
7257,1977/67,"????? ??????
tanuvara ???ti?",,pl,N.Na,38x3,162&163,Shanti,5,65,C   ,G/O ,
7258,1977/68,"?????? ?????????? ??????
baumav?ra pratham?rthava ???ti?",,pl,N.Na,38x3,163&164,Shanti,5,65,C   ,G /O,
7259,1977/69,"??????? ??????
grahanoga ???ti?",,pl,N.Na,38x3,164&165,Shanti,5,65,C   ,G /O,
7260,1977/7,"???????? ????? ?????
tilapi??a yamad?na vidhi?",,pl,N.Na,38x3,26&27,Shanti,5,65,C   ,O/D ,?????
7261,1977/70,"??? ???? ??????
pa?ca graha ???ti?",,pl,N.Na,38x3,164&168,Shanti,5,65,C   ,G /O,
7262,1977/71,"???? ??????
kuh? ???ti?",,pl,N.Na,38x3,168&1&170,Shanti,5,65,C   ,G ,
7263,1977/72,"?????? ??????? ??????
r?hi?i nak?atra ???ti?",,pl,N.Na,38x3,172&,Shanti,5,65,C   ,G ,
7264,1977/73,"?????? ??????? ??????
m?ga?ira nak?atra ???ti?",,pl,N.Na,38x3,173&,Shanti,5,65,C   ,G /O,
7265,1977/74,"????? ??????? ??????
pu?ya nak?atra ???ti?",,pl,N.Na,38x3,173&1&174,Shanti,5,65,C   ,G /O,
